measure_name,state_name,im_rank,im_value,im_score,im_lower_ci,im_upper_ci
Infant Mortality -  Mother Age 25-29,Alaska,,5.9,,,
Infant Mortality -  Mother Age 25-29,Arizona,,5.4,,,
Infant Mortality -  Mother Age 25-29,Arkansas,,7.4,,,
Infant Mortality -  Mother Age 25-29,California,,4.2,,,
Infant Mortality -  Mother Age 25-29,Colorado,,4.4,,,
Infant Mortality -  Mother Age 25-29,Connecticut,,5.3,,,
Infant Mortality -  Mother Age 25-29,Delaware,,9.2,,,
Infant Mortality -  Mother Age 25-29,Florida,,5.9,,,
Infant Mortality -  Mother Age 25-29,Georgia,,6.9,,,
Infant Mortality -  Mother Age 25-29,Hawaii,,4.9,,,
Infant Mortality -  Mother Age 25-29,Idaho,,3.7,,,
Infant Mortality -  Mother Age 25-29,Illinois,,5.7,,,
Infant Mortality -  Mother Age 25-29,Indiana,,6.5,,,
Infant Mortality -  Mother Age 25-29,Iowa,,4.9,,,
Infant Mortality -  Mother Age 25-29,Kansas,,6.3,,,
Infant Mortality -  Mother Age 25-29,Kentucky,,6.4,,,
Infant Mortality -  Mother Age 25-29,Louisiana,,7.4,,,
Infant Mortality -  Mother Age 25-29,Maine,,6.0,,,
Infant Mortality -  Mother Age 25-29,Maryland,,6.8,,,
Infant Mortality -  Mother Age 25-29,Massachusetts,,4.4,,,
Infant Mortality -  Mother Age 25-29,Michigan,,6.0,,,
Infant Mortality -  Mother Age 25-29,Minnesota,,4.3,,,
Infant Mortality -  Mother Age 25-29,Mississippi,,8.1,,,
Infant Mortality -  Mother Age 25-29,Missouri,,6.0,,,
Infant Mortality -  Mother Age 25-29,Montana,,4.2,,,
Infant Mortality -  Mother Age 25-29,Nebraska,,6.2,,,
Infant Mortality -  Mother Age 25-29,Nevada,,5.0,,,
Infant Mortality -  Mother Age 25-29,New Hampshire,,,,,
Infant Mortality -  Mother Age 25-29,New Jersey,,4.7,,,
Infant Mortality -  Mother Age 25-29,New Mexico,,5.3,,,
Infant Mortality -  Mother Age 25-29,New York,,4.5,,,
Infant Mortality -  Mother Age 25-29,North Carolina,,6.8,,,
Infant Mortality -  Mother Age 25-29,North Dakota,,7.3,,,
Infant Mortality -  Mother Age 25-29,Ohio,,6.9,,,
Infant Mortality -  Mother Age 25-29,Oklahoma,,6.7,,,
Infant Mortality -  Mother Age 25-29,Oregon,,4.8,,,
Infant Mortality -  Mother Age 25-29,Pennsylvania,,5.9,,,
Infant Mortality -  Mother Age 25-29,Rhode Island,,6.0,,,
Infant Mortality -  Mother Age 25-29,South Carolina,,6.0,,,
Infant Mortality -  Mother Age 25-29,South Dakota,,6.8,,,
Infant Mortality -  Mother Age 25-29,Tennessee,,7.1,,,
Infant Mortality -  Mother Age 25-29,Texas,,5.4,,,
Infant Mortality -  Mother Age 25-29,Utah,,4.9,,,
Infant Mortality -  Mother Age 25-29,Vermont,,,,,
Infant Mortality -  Mother Age 25-29,Virginia,,5.9,,,
Infant Mortality -  Mother Age 25-29,Washington,,4.5,,,
Infant Mortality -  Mother Age 25-29,West Virginia,,7.5,,,
Infant Mortality -  Mother Age 25-29,Wisconsin,,5.7,,,
Infant Mortality -  Mother Age 25-29,Wyoming,,4.4,,,
Infant Mortality -  Mother Age 25-29,United States,,5.6,,,
Infant Mortality -  Mother Age 25-29,District of Columbia,,7.9,,,
Infant Mortality - American Indian/Alaska Native,Alabama,,,,,
Infant Mortality - American Indian/Alaska Native,Alaska,,11.6,,,
Infant Mortality - American Indian/Alaska Native,Arizona,,8.5,,,
Infant Mortality - American Indian/Alaska Native,Arkansas,,,,,
Infant Mortality - American Indian/Alaska Native,California,,6.5,,,
Infant Mortality - American Indian/Alaska Native,Colorado,,,,,
Infant Mortality - American Indian/Alaska Native,Connecticut,,,,,
Infant Mortality - American Indian/Alaska Native,Delaware,,,,,
Infant Mortality - American Indian/Alaska Native,Florida,,,,,
Infant Mortality - American Indian/Alaska Native,Georgia,,,,,
Infant Mortality - American Indian/Alaska Native,Hawaii,,,,,
Infant Mortality - American Indian/Alaska Native,Idaho,,,,,
Infant Mortality - American Indian/Alaska Native,Illinois,,,,,
Infant Mortality - American Indian/Alaska Native,Indiana,,,,,
Infant Mortality - American Indian/Alaska Native,Iowa,,,,,
Infant Mortality - American Indian/Alaska Native,Kansas,,,,,
Infant Mortality - American Indian/Alaska Native,Kentucky,,,,,
Infant Mortality - American Indian/Alaska Native,Louisiana,,,,,
Infant Mortality - American Indian/Alaska Native,Maine,,,,,
Infant Mortality - American Indian/Alaska Native,Maryland,,,,,
Infant Mortality - American Indian/Alaska Native,Massachusetts,,,,,
Infant Mortality - American Indian/Alaska Native,Michigan,,,,,
Infant Mortality - American Indian/Alaska Native,Minnesota,,11.4,,,
Infant Mortality - American Indian/Alaska Native,Mississippi,,,,,
Infant Mortality - American Indian/Alaska Native,Missouri,,,,,
Infant Mortality - American Indian/Alaska Native,Montana,,11.6,,,
Infant Mortality - American Indian/Alaska Native,Nebraska,,,,,
Infant Mortality - American Indian/Alaska Native,Nevada,,,,,
Infant Mortality - American Indian/Alaska Native,New Hampshire,,,,,
Infant Mortality - American Indian/Alaska Native,New Jersey,,,,,
Infant Mortality - American Indian/Alaska Native,New Mexico,,6.3,,,
Infant Mortality - American Indian/Alaska Native,New York,,,,,
Infant Mortality - American Indian/Alaska Native,North Carolina,,7.5,,,
Infant Mortality - American Indian/Alaska Native,North Dakota,,15.4,,,
Infant Mortality - American Indian/Alaska Native,Ohio,,,,,
Infant Mortality - American Indian/Alaska Native,Oklahoma,,9.3,,,
Infant Mortality - American Indian/Alaska Native,Oregon,,,,,
Infant Mortality - American Indian/Alaska Native,Pennsylvania,,,,,
Infant Mortality - American Indian/Alaska Native,Rhode Island,,,,,
Infant Mortality - American Indian/Alaska Native,South Carolina,,,,,
Infant Mortality - American Indian/Alaska Native,South Dakota,,11.5,,,
Infant Mortality - American Indian/Alaska Native,Tennessee,,,,,
Infant Mortality - American Indian/Alaska Native,Texas,,,,,
Infant Mortality - American Indian/Alaska Native,Utah,,,,,
Infant Mortality - American Indian/Alaska Native,Vermont,,,,,
Infant Mortality - American Indian/Alaska Native,Virginia,,,,,
Infant Mortality - American Indian/Alaska Native,Washington,,8.6,,,
Infant Mortality - American Indian/Alaska Native,West Virginia,,,,,
Infant Mortality - American Indian/Alaska Native,Wisconsin,,,,,
Infant Mortality - American Indian/Alaska Native,Wyoming,,,,,
Infant Mortality - American Indian/Alaska Native,United States,,8.4,,,
Infant Mortality - American Indian/Alaska Native,District of Columbia,,,,,
Infant Mortality - Asian,Alabama,,,,,
Infant Mortality - Asian,Alaska,,,,,
Infant Mortality - Asian,Arizona,,5.3,,,
Infant Mortality - Asian,Arkansas,,,,,
Infant Mortality - Asian,California,,3.4,,,
Infant Mortality - Asian,Colorado,,5.2,,,
Infant Mortality - Asian,Connecticut,,6.2,,,
Infant Mortality - Asian,Delaware,,,,,
Infant Mortality - Asian,Florida,,5.1,,,
Infant Mortality - Asian,Georgia,,2.9,,,
Infant Mortality - Asian,Hawaii,,6.6,,,
Infant Mortality - Asian,Idaho,,,,,
Infant Mortality - Asian,Illinois,,3.6,,,
Infant Mortality - Asian,Indiana,,4.2,,,
Infant Mortality - Asian,Iowa,,,,,
Infant Mortality - Asian,Kansas,,,,,
Infant Mortality - Asian,Kentucky,,,,,
Infant Mortality - Asian,Louisiana,,,,,
Infant Mortality - Asian,Maine,,,,,
Infant Mortality - Asian,Maryland,,5.2,,,
Infant Mortality - Asian,Massachusetts,,2.6,,,
Infant Mortality - Asian,Michigan,,3.8,,,
Infant Mortality - Asian,Minnesota,,6.4,,,
Infant Mortality - Asian,Mississippi,,,,,
Infant Mortality - Asian,Missouri,,4.5,,,
Infant Mortality - Asian,Montana,,,,,
Infant Mortality - Asian,Nebraska,,,,,
Infant Mortality - Asian,Nevada,,5.5,,,
Infant Mortality - Asian,New Hampshire,,,,,
Infant Mortality - Asian,New Jersey,,2.9,,,
Infant Mortality - Asian,New Mexico,,,,,
Infant Mortality - Asian,New York,,3.2,,,
Infant Mortality - Asian,North Carolina,,5.2,,,
Infant Mortality - Asian,North Dakota,,,,,
Infant Mortality - Asian,Ohio,,4.6,,,
Infant Mortality - Asian,Oklahoma,,5.9,,,
Infant Mortality - Asian,Oregon,,5.0,,,
Infant Mortality - Asian,Pennsylvania,,4.2,,,
Infant Mortality - Asian,Rhode Island,,,,,
Infant Mortality - Asian,South Carolina,,,,,
Infant Mortality - Asian,South Dakota,,,,,
Infant Mortality - Asian,Tennessee,,6.7,,,
Infant Mortality - Asian,Texas,,3.9,,,
Infant Mortality - Asian,Utah,,6.2,,,
Infant Mortality - Asian,Vermont,,,,,
Infant Mortality - Asian,Virginia,,4.1,,,
Infant Mortality - Asian,Washington,,3.7,,,
Infant Mortality - Asian,West Virginia,,,,,
Infant Mortality - Asian,Wisconsin,,6.0,,,
Infant Mortality - Asian,Wyoming,,,,,
Infant Mortality - Asian,United States,,4.1,,,
Infant Mortality - Asian,District of Columbia,,,,,
Infant Mortality - Black,Alabama,,14.3,,,
Infant Mortality - Black,Alaska,,,,,
Infant Mortality - Black,Arizona,,9.3,,,
Infant Mortality - Black,Arkansas,,11.9,,,
Infant Mortality - Black,California,,8.4,,,
Infant Mortality - Black,Colorado,,9.0,,,
Infant Mortality - Black,Connecticut,,11.4,,,
Infant Mortality - Black,Delaware,,13.1,,,
Infant Mortality - Black,Florida,,10.7,,,
Infant Mortality - Black,Georgia,,11.8,,,
Infant Mortality - Black,Hawaii,,,,,
Infant Mortality - Black,Idaho,,,,,
Infant Mortality - Black,Illinois,,12.4,,,
Infant Mortality - Black,Indiana,,12.5,,,
Infant Mortality - Black,Iowa,,10.9,,,
Infant Mortality - Black,Kansas,,11.3,,,
Infant Mortality - Black,Kentucky,,10.4,,,
Infant Mortality - Black,Louisiana,,11.6,,,
Infant Mortality - Black,Maine,,,,,
Infant Mortality - Black,Maryland,,10.3,,,
Infant Mortality - Black,Massachusetts,,7.8,,,
Infant Mortality - Black,Michigan,,12.3,,,
Infant Mortality - Black,Minnesota,,8.6,,,
Infant Mortality - Black,Mississippi,,11.7,,,
Infant Mortality - Black,Missouri,,12.1,,,
Infant Mortality - Black,Montana,,,,,
Infant Mortality - Black,Nebraska,,11.9,,,
Infant Mortality - Black,Nevada,,9.9,,,
Infant Mortality - Black,New Hampshire,,,,,
Infant Mortality - Black,New Jersey,,9.5,,,
Infant Mortality - Black,New Mexico,,,,,
Infant Mortality - Black,New York,,8.2,,,
Infant Mortality - Black,North Carolina,,11.8,,,
Infant Mortality - Black,North Dakota,,,,,
Infant Mortality - Black,Ohio,,13.8,,,
Infant Mortality - Black,Oklahoma,,12.9,,,
Infant Mortality - Black,Oregon,,8.9,,,
Infant Mortality - Black,Pennsylvania,,11.3,,,
Infant Mortality - Black,Rhode Island,,9.4,,,
Infant Mortality - Black,South Carolina,,10.8,,,
Infant Mortality - Black,South Dakota,,,,,
Infant Mortality - Black,Tennessee,,10.9,,,
Infant Mortality - Black,Texas,,9.9,,,
Infant Mortality - Black,Utah,,,,,
Infant Mortality - Black,Vermont,,,,,
Infant Mortality - Black,Virginia,,9.9,,,
Infant Mortality - Black,Washington,,7.9,,,
Infant Mortality - Black,West Virginia,,13.4,,,
Infant Mortality - Black,Wisconsin,,14.6,,,
Infant Mortality - Black,Wyoming,,,,,
Infant Mortality - Black,United States,,10.9,,,
Infant Mortality - Black,District of Columbia,,12.0,,,
Infant Mortality - Hispanic,Alabama,,6.0,,,
Infant Mortality - Hispanic,Alaska,,,,,
Infant Mortality - Hispanic,Arizona,,5.3,,,
Infant Mortality - Hispanic,Arkansas,,4.1,,,
Infant Mortality - Hispanic,California,,4.3,,,
Infant Mortality - Hispanic,Colorado,,5.0,,,
Infant Mortality - Hispanic,Connecticut,,5.8,,,
Infant Mortality - Hispanic,Delaware,,8.4,,,
Infant Mortality - Hispanic,Florida,,4.5,,,
Infant Mortality - Hispanic,Georgia,,5.8,,,
Infant Mortality - Hispanic,Hawaii,,4.9,,,
Infant Mortality - Hispanic,Idaho,,6.3,,,
Infant Mortality - Hispanic,Illinois,,5.5,,,
Infant Mortality - Hispanic,Indiana,,7.8,,,
Infant Mortality - Hispanic,Iowa,,5.7,,,
Infant Mortality - Hispanic,Kansas,,5.4,,,
Infant Mortality - Hispanic,Kentucky,,5.7,,,
Infant Mortality - Hispanic,Louisiana,,5.4,,,
Infant Mortality - Hispanic,Maine,,,,,
Infant Mortality - Hispanic,Maryland,,5.6,,,
Infant Mortality - Hispanic,Massachusetts,,5.8,,,
Infant Mortality - Hispanic,Michigan,,7.6,,,
Infant Mortality - Hispanic,Minnesota,,5.0,,,
Infant Mortality - Hispanic,Mississippi,,,,,
Infant Mortality - Hispanic,Missouri,,5.6,,,
Infant Mortality - Hispanic,Montana,,,,,
Infant Mortality - Hispanic,Nebraska,,5.7,,,
Infant Mortality - Hispanic,Nevada,,4.7,,,
Infant Mortality - Hispanic,New Hampshire,,,,,
Infant Mortality - Hispanic,New Jersey,,4.3,,,
Infant Mortality - Hispanic,New Mexico,,5.4,,,
Infant Mortality - Hispanic,New York,,4.2,,,
Infant Mortality - Hispanic,North Carolina,,5.2,,,
Infant Mortality - Hispanic,North Dakota,,,,,
Infant Mortality - Hispanic,Ohio,,6.5,,,
Infant Mortality - Hispanic,Oklahoma,,6.0,,,
Infant Mortality - Hispanic,Oregon,,4.4,,,
Infant Mortality - Hispanic,Pennsylvania,,6.3,,,
Infant Mortality - Hispanic,Rhode Island,,5.8,,,
Infant Mortality - Hispanic,South Carolina,,5.1,,,
Infant Mortality - Hispanic,South Dakota,,,,,
Infant Mortality - Hispanic,Tennessee,,5.4,,,
Infant Mortality - Hispanic,Texas,,5.3,,,
Infant Mortality - Hispanic,Utah,,5.7,,,
Infant Mortality - Hispanic,Vermont,,,,,
Infant Mortality - Hispanic,Virginia,,4.2,,,
Infant Mortality - Hispanic,Washington,,4.4,,,
Infant Mortality - Hispanic,West Virginia,,,,,
Infant Mortality - Hispanic,Wisconsin,,5.0,,,
Infant Mortality - Hispanic,Wyoming,,,,,
Infant Mortality - Hispanic,United States,,5.0,,,
Infant Mortality - Hispanic,District of Columbia,,,,,
Infant Mortality - Mother Age 15-19,Alabama,,9.8,,,
Infant Mortality - Mother Age 15-19,Alaska,,,,,
Infant Mortality - Mother Age 15-19,Arizona,,7.3,,,
Infant Mortality - Mother Age 15-19,Arkansas,,10.5,,,
Infant Mortality - Mother Age 15-19,California,,5.6,,,
Infant Mortality - Mother Age 15-19,Colorado,,10.4,,,
Infant Mortality - Mother Age 15-19,Connecticut,,,,,
Infant Mortality - Mother Age 15-19,Delaware,,,,,
Infant Mortality - Mother Age 15-19,Florida,,8.3,,,
Infant Mortality - Mother Age 15-19,Georgia,,10.0,,,
Infant Mortality - Mother Age 15-19,Hawaii,,,,,
Infant Mortality - Mother Age 15-19,Idaho,,,,,
Infant Mortality - Mother Age 15-19,Illinois,,9.3,,,
Infant Mortality - Mother Age 15-19,Indiana,,9.9,,,
Infant Mortality - Mother Age 15-19,Iowa,,8.0,,,
Infant Mortality - Mother Age 15-19,Kansas,,8.3,,,
Infant Mortality - Mother Age 15-19,Kentucky,,10.2,,,
Infant Mortality - Mother Age 15-19,Louisiana,,9.6,,,
Infant Mortality - Mother Age 15-19,Maine,,,,,
Infant Mortality - Mother Age 15-19,Maryland,,8.7,,,
Infant Mortality - Mother Age 15-19,Massachusetts,,7.6,,,
Infant Mortality - Mother Age 15-19,Michigan,,10.3,,,
Infant Mortality - Mother Age 15-19,Minnesota,,10.3,,,
Infant Mortality - Mother Age 15-19,Mississippi,,9.0,,,
Infant Mortality - Mother Age 15-19,Missouri,,9.5,,,
Infant Mortality - Mother Age 15-19,Montana,,,,,
Infant Mortality - Mother Age 15-19,Nebraska,,9.6,,,
Infant Mortality - Mother Age 15-19,Nevada,,7.9,,,
Infant Mortality - Mother Age 15-19,New Hampshire,,,,,
Infant Mortality - Mother Age 15-19,New Jersey,,6.8,,,
Infant Mortality - Mother Age 15-19,New Mexico,,6.7,,,
Infant Mortality - Mother Age 15-19,New York,,6.7,,,
Infant Mortality - Mother Age 15-19,North Carolina,,9.8,,,
Infant Mortality - Mother Age 15-19,North Dakota,,,,,
Infant Mortality - Mother Age 15-19,Ohio,,11.4,,,
Infant Mortality - Mother Age 15-19,Oklahoma,,11.5,,,
Infant Mortality - Mother Age 15-19,Oregon,,6.1,,,
Infant Mortality - Mother Age 15-19,Pennsylvania,,9.1,,,
Infant Mortality - Mother Age 15-19,Rhode Island,,,,,
Infant Mortality - Mother Age 15-19,South Carolina,,9.1,,,
Infant Mortality - Mother Age 15-19,South Dakota,,,,,
Infant Mortality - Mother Age 15-19,Tennessee,,8.1,,,
Infant Mortality - Mother Age 15-19,Texas,,7.2,,,
Infant Mortality - Mother Age 15-19,Utah,,9.1,,,
Infant Mortality - Mother Age 15-19,Vermont,,,,,
Infant Mortality - Mother Age 15-19,Virginia,,8.9,,,
Infant Mortality - Mother Age 15-19,Washington,,8.2,,,
Infant Mortality - Mother Age 15-19,West Virginia,,7.9,,,
Infant Mortality - Mother Age 15-19,Wisconsin,,10.4,,,
Infant Mortality - Mother Age 15-19,Wyoming,,,,,
Infant Mortality - Mother Age 15-19,United States,,8.4,,,
Infant Mortality - Mother Age 15-19,District of Columbia,,,,,
Infant Mortality - Mother Age 20-24,Alabama,,10.4,,,
Infant Mortality - Mother Age 20-24,Alaska,,6.6,,,
Infant Mortality - Mother Age 20-24,Arizona,,4.8,,,
Infant Mortality - Mother Age 20-24,Arkansas,,9.0,,,
Infant Mortality - Mother Age 20-24,California,,4.9,,,
Infant Mortality - Mother Age 20-24,Colorado,,5.8,,,
Infant Mortality - Mother Age 20-24,Connecticut,,6.5,,,
Infant Mortality - Mother Age 20-24,Delaware,,11.9,,,
Infant Mortality - Mother Age 20-24,Florida,,7.1,,,
Infant Mortality - Mother Age 20-24,Georgia,,9.0,,,
Infant Mortality - Mother Age 20-24,Hawaii,,6.7,,,
Infant Mortality - Mother Age 20-24,Idaho,,6.7,,,
Infant Mortality - Mother Age 20-24,Illinois,,8.1,,,
Infant Mortality - Mother Age 20-24,Indiana,,7.9,,,
Infant Mortality - Mother Age 20-24,Iowa,,5.9,,,
Infant Mortality - Mother Age 20-24,Kansas,,7.0,,,
Infant Mortality - Mother Age 20-24,Kentucky,,8.0,,,
Infant Mortality - Mother Age 20-24,Louisiana,,8.4,,,
Infant Mortality - Mother Age 20-24,Maine,,5.8,,,
Infant Mortality - Mother Age 20-24,Maryland,,7.2,,,
Infant Mortality - Mother Age 20-24,Massachusetts,,6.3,,,
Infant Mortality - Mother Age 20-24,Michigan,,8.2,,,
Infant Mortality - Mother Age 20-24,Minnesota,,6.7,,,
Infant Mortality - Mother Age 20-24,Mississippi,,11.3,,,
Infant Mortality - Mother Age 20-24,Missouri,,8.1,,,
Infant Mortality - Mother Age 20-24,Montana,,8.8,,,
Infant Mortality - Mother Age 20-24,Nebraska,,5.8,,,
Infant Mortality - Mother Age 20-24,Nevada,,5.9,,,
Infant Mortality - Mother Age 20-24,New Hampshire,,5.7,,,
Infant Mortality - Mother Age 20-24,New Jersey,,5.2,,,
Infant Mortality - Mother Age 20-24,New Mexico,,5.6,,,
Infant Mortality - Mother Age 20-24,New York,,5.6,,,
Infant Mortality - Mother Age 20-24,North Carolina,,8.9,,,
Infant Mortality - Mother Age 20-24,North Dakota,,5.8,,,
Infant Mortality - Mother Age 20-24,Ohio,,8.8,,,
Infant Mortality - Mother Age 20-24,Oklahoma,,8.5,,,
Infant Mortality - Mother Age 20-24,Oregon,,6.0,,,
Infant Mortality - Mother Age 20-24,Pennsylvania,,7.9,,,
Infant Mortality - Mother Age 20-24,Rhode Island,,7.4,,,
Infant Mortality - Mother Age 20-24,South Carolina,,8.8,,,
Infant Mortality - Mother Age 20-24,South Dakota,,7.6,,,
Infant Mortality - Mother Age 20-24,Tennessee,,8.3,,,
Infant Mortality - Mother Age 20-24,Texas,,6.2,,,
Infant Mortality - Mother Age 20-24,Utah,,4.5,,,
Infant Mortality - Mother Age 20-24,Vermont,,,,,
Infant Mortality - Mother Age 20-24,Virginia,,7.2,,,
Infant Mortality - Mother Age 20-24,Washington,,5.5,,,
Infant Mortality - Mother Age 20-24,West Virginia,,7.0,,,
Infant Mortality - Mother Age 20-24,Wisconsin,,6.8,,,
Infant Mortality - Mother Age 20-24,Wyoming,,6.8,,,
Infant Mortality - Mother Age 20-24,United States,,7.1,,,
Infant Mortality - Mother Age 20-24,District of Columbia,,12.9,,,
Infant Mortality - Mother Age 30-34,Alabama,,8.3,,,
Infant Mortality - Mother Age 30-34,Alaska,,4.4,,,
Infant Mortality - Mother Age 30-34,Arizona,,4.6,,,
Infant Mortality - Mother Age 30-34,Arkansas,,6.6,,,
Infant Mortality - Mother Age 30-34,California,,3.7,,,
Infant Mortality - Mother Age 30-34,Colorado,,3.7,,,
Infant Mortality - Mother Age 30-34,Connecticut,,4.5,,,
Infant Mortality - Mother Age 30-34,Delaware,,6.4,,,
Infant Mortality - Mother Age 30-34,Florida,,5.2,,,
Infant Mortality - Mother Age 30-34,Georgia,,6.6,,,
Infant Mortality - Mother Age 30-34,Hawaii,,6.6,,,
Infant Mortality - Mother Age 30-34,Idaho,,4.4,,,
Infant Mortality - Mother Age 30-34,Illinois,,5.4,,,
Infant Mortality - Mother Age 30-34,Indiana,,6.9,,,
Infant Mortality - Mother Age 30-34,Iowa,,4.2,,,
Infant Mortality - Mother Age 30-34,Kansas,,4.2,,,
Infant Mortality - Mother Age 30-34,Kentucky,,4.8,,,
Infant Mortality - Mother Age 30-34,Louisiana,,6.6,,,
Infant Mortality - Mother Age 30-34,Maine,,5.2,,,
Infant Mortality - Mother Age 30-34,Maryland,,5.7,,,
Infant Mortality - Mother Age 30-34,Massachusetts,,3.3,,,
Infant Mortality - Mother Age 30-34,Michigan,,4.6,,,
Infant Mortality - Mother Age 30-34,Minnesota,,4.4,,,
Infant Mortality - Mother Age 30-34,Mississippi,,6.7,,,
Infant Mortality - Mother Age 30-34,Missouri,,5.0,,,
Infant Mortality - Mother Age 30-34,Montana,,5.9,,,
Infant Mortality - Mother Age 30-34,Nebraska,,4.7,,,
Infant Mortality - Mother Age 30-34,Nevada,,4.6,,,
Infant Mortality - Mother Age 30-34,New Hampshire,,4.3,,,
Infant Mortality - Mother Age 30-34,New Jersey,,3.5,,,
Infant Mortality - Mother Age 30-34,New Mexico,,5.7,,,
Infant Mortality - Mother Age 30-34,New York,,3.9,,,
Infant Mortality - Mother Age 30-34,North Carolina,,5.6,,,
Infant Mortality - Mother Age 30-34,North Dakota,,5.2,,,
Infant Mortality - Mother Age 30-34,Ohio,,5.8,,,
Infant Mortality - Mother Age 30-34,Oklahoma,,5.9,,,
Infant Mortality - Mother Age 30-34,Oregon,,3.8,,,
Infant Mortality - Mother Age 30-34,Pennsylvania,,5.0,,,
Infant Mortality - Mother Age 30-34,Rhode Island,,4.7,,,
Infant Mortality - Mother Age 30-34,South Carolina,,5.6,,,
Infant Mortality - Mother Age 30-34,South Dakota,,4.7,,,
Infant Mortality - Mother Age 30-34,Tennessee,,5.4,,,
Infant Mortality - Mother Age 30-34,Texas,,5.0,,,
Infant Mortality - Mother Age 30-34,Utah,,5.0,,,
Infant Mortality - Mother Age 30-34,Vermont,,,,,
Infant Mortality - Mother Age 30-34,Virginia,,4.6,,,
Infant Mortality - Mother Age 30-34,Washington,,4.0,,,
Infant Mortality - Mother Age 30-34,West Virginia,,6.8,,,
Infant Mortality - Mother Age 30-34,Wisconsin,,5.1,,,
Infant Mortality - Mother Age 30-34,Wyoming,,,,,
Infant Mortality - Mother Age 30-34,United States,,4.8,,,
Infant Mortality - Mother Age 30-34,District of Columbia,,6.0,,,
Infant Mortality - Mother Age 35-39,Alabama,,6.9,,,
Infant Mortality - Mother Age 35-39,Alaska,,,,,
Infant Mortality - Mother Age 35-39,Arizona,,6.3,,,
Infant Mortality - Mother Age 35-39,Arkansas,,6.8,,,
Infant Mortality - Mother Age 35-39,California,,4.2,,,
Infant Mortality - Mother Age 35-39,Colorado,,4.1,,,
Infant Mortality - Mother Age 35-39,Connecticut,,4.4,,,
Infant Mortality - Mother Age 35-39,Delaware,,7.4,,,
Infant Mortality - Mother Age 35-39,Florida,,5.9,,,
Infant Mortality - Mother Age 35-39,Georgia,,7.4,,,
Infant Mortality - Mother Age 35-39,Hawaii,,4.4,,,
Infant Mortality - Mother Age 35-39,Idaho,,7.0,,,
Infant Mortality - Mother Age 35-39,Illinois,,4.9,,,
Infant Mortality - Mother Age 35-39,Indiana,,7.9,,,
Infant Mortality - Mother Age 35-39,Iowa,,5.1,,,
