measure_name,state_name,pctt_rank,pctt_value,pctt_score,pctt_lower_ci,pctt_upper_ci
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Kansas,,95.9,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Kentucky,,93.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Louisiana,,93.6,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Maine,,94.3,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Maryland,,94.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Massachusetts,,95.7,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Michigan,,96.0,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Minnesota,,96.3,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Mississippi,,96.4,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Missouri,,92.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Montana,,,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Nebraska,,93.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Nevada,,91.6,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,New Hampshire,,96.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,New Jersey,,96.1,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,New Mexico,,91.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,New York,,95.4,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,North Carolina,,93.9,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,North Dakota,,,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Ohio,,92.7,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Oklahoma,,91.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Oregon,,93.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Pennsylvania,,91.4,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Rhode Island,,96.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,South Carolina,,92.6,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,South Dakota,,95.1,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Tennessee,,92.2,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Texas,,90.8,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Utah,,92.2,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Vermont,,,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Virginia,,96.4,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Washington,,93.4,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,West Virginia,,93.3,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Wisconsin,,96.5,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,Wyoming,,,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,United States,,94.4,,,
Prenatal Care Before Third Trimester - Asian/Pacific Islanders,District of Columbia,,96.0,,,
Prenatal Care Before Third Trimester - Black,Alabama,,92.0,,,
Prenatal Care Before Third Trimester - Black,Alaska,,96.7,,,
Prenatal Care Before Third Trimester - Black,Arizona,,88.8,,,
Prenatal Care Before Third Trimester - Black,Arkansas,,89.3,,,
Prenatal Care Before Third Trimester - Black,California,,94.8,,,
Prenatal Care Before Third Trimester - Black,Colorado,,90.6,,,
Prenatal Care Before Third Trimester - Black,Connecticut,,94.8,,,
Prenatal Care Before Third Trimester - Black,Delaware,,91.7,,,
Prenatal Care Before Third Trimester - Black,Florida,,89.5,,,
Prenatal Care Before Third Trimester - Black,Georgia,,88.5,,,
Prenatal Care Before Third Trimester - Black,Hawaii,,97.7,,,
Prenatal Care Before Third Trimester - Black,Idaho,,93.9,,,
Prenatal Care Before Third Trimester - Black,Illinois,,87.7,,,
Prenatal Care Before Third Trimester - Black,Indiana,,87.9,,,
Prenatal Care Before Third Trimester - Black,Iowa,,91.2,,,
Prenatal Care Before Third Trimester - Black,Kansas,,93.5,,,
Prenatal Care Before Third Trimester - Black,Kentucky,,91.6,,,
Prenatal Care Before Third Trimester - Black,Louisiana,,92.0,,,
Prenatal Care Before Third Trimester - Black,Maine,,87.2,,,
Prenatal Care Before Third Trimester - Black,Maryland,,90.4,,,
Prenatal Care Before Third Trimester - Black,Massachusetts,,88.6,,,
Prenatal Care Before Third Trimester - Black,Michigan,,92.4,,,
Prenatal Care Before Third Trimester - Black,Minnesota,,92.4,,,
Prenatal Care Before Third Trimester - Black,Mississippi,,94.2,,,
Prenatal Care Before Third Trimester - Black,Missouri,,,,,
Prenatal Care Before Third Trimester - Black,Montana,,,,,
Prenatal Care Before Third Trimester - Black,Nebraska,,90.3,,,
Prenatal Care Before Third Trimester - Black,Nevada,,88.7,,,
Prenatal Care Before Third Trimester - Black,New Hampshire,,89.4,,,
Prenatal Care Before Third Trimester - Black,New Jersey,,88.6,,,
Prenatal Care Before Third Trimester - Black,New Mexico,,88.4,,,
Prenatal Care Before Third Trimester - Black,New York,,89.8,,,
Prenatal Care Before Third Trimester - Black,North Carolina,,91.1,,,
Prenatal Care Before Third Trimester - Black,North Dakota,,,,,
Prenatal Care Before Third Trimester - Black,Ohio,,89.9,,,
Prenatal Care Before Third Trimester - Black,Oklahoma,,90.0,,,
Prenatal Care Before Third Trimester - Black,Oregon,,92.2,,,
Prenatal Care Before Third Trimester - Black,Pennsylvania,,88.6,,,
Prenatal Care Before Third Trimester - Black,Rhode Island,,95.9,,,
Prenatal Care Before Third Trimester - Black,South Carolina,,92.2,,,
Prenatal Care Before Third Trimester - Black,South Dakota,,91.5,,,
Prenatal Care Before Third Trimester - Black,Tennessee,,87.4,,,
Prenatal Care Before Third Trimester - Black,Texas,,83.9,,,
Prenatal Care Before Third Trimester - Black,Utah,,93.4,,,
Prenatal Care Before Third Trimester - Black,Vermont,,,,,
Prenatal Care Before Third Trimester - Black,Virginia,,93.4,,,
Prenatal Care Before Third Trimester - Black,Washington,,90.2,,,
Prenatal Care Before Third Trimester - Black,West Virginia,,91.4,,,
Prenatal Care Before Third Trimester - Black,Wisconsin,,92.1,,,
Prenatal Care Before Third Trimester - Black,Wyoming,,87.2,,,
Prenatal Care Before Third Trimester - Black,United States,,90.0,,,
Prenatal Care Before Third Trimester - Black,District of Columbia,,85.0,,,
Prenatal Care Before Third Trimester - College Graduate,Alabama,28.0,96.7,,,
Prenatal Care Before Third Trimester - College Graduate,Alaska,25.0,96.9,,,
Prenatal Care Before Third Trimester - College Graduate,Arizona,47.0,94.9,,,
Prenatal Care Before Third Trimester - College Graduate,Arkansas,39.0,96.1,,,
Prenatal Care Before Third Trimester - College Graduate,California,10.0,97.8,,,
Prenatal Care Before Third Trimester - College Graduate,Colorado,29.0,96.6,,,
Prenatal Care Before Third Trimester - College Graduate,Connecticut,10.0,97.8,,,
Prenatal Care Before Third Trimester - College Graduate,Delaware,27.0,96.8,,,
Prenatal Care Before Third Trimester - College Graduate,Florida,44.0,95.3,,,
Prenatal Care Before Third Trimester - College Graduate,Georgia,43.0,95.8,,,
Prenatal Care Before Third Trimester - College Graduate,Hawaii,47.0,94.9,,,
Prenatal Care Before Third Trimester - College Graduate,Idaho,23.0,97.3,,,
Prenatal Care Before Third Trimester - College Graduate,Illinois,30.0,96.5,,,
Prenatal Care Before Third Trimester - College Graduate,Indiana,23.0,97.3,,,
Prenatal Care Before Third Trimester - College Graduate,Iowa,4.0,98.2,,,
Prenatal Care Before Third Trimester - College Graduate,Kansas,3.0,98.8,,,
Prenatal Care Before Third Trimester - College Graduate,Kentucky,16.0,97.6,,,
Prenatal Care Before Third Trimester - College Graduate,Louisiana,21.0,97.4,,,
Prenatal Care Before Third Trimester - College Graduate,Maine,16.0,97.6,,,
Prenatal Care Before Third Trimester - College Graduate,Maryland,44.0,95.3,,,
Prenatal Care Before Third Trimester - College Graduate,Massachusetts,37.0,96.3,,,
Prenatal Care Before Third Trimester - College Graduate,Michigan,16.0,97.6,,,
Prenatal Care Before Third Trimester - College Graduate,Minnesota,6.0,98.1,,,
Prenatal Care Before Third Trimester - College Graduate,Mississippi,8.0,97.9,,,
Prenatal Care Before Third Trimester - College Graduate,Missouri,8.0,97.9,,,
Prenatal Care Before Third Trimester - College Graduate,Montana,19.0,97.5,,,
Prenatal Care Before Third Trimester - College Graduate,Nebraska,12.0,97.7,,,
Prenatal Care Before Third Trimester - College Graduate,Nevada,37.0,96.3,,,
Prenatal Care Before Third Trimester - College Graduate,New Hampshire,21.0,97.4,,,
Prenatal Care Before Third Trimester - College Graduate,New Jersey,34.0,96.4,,,
Prenatal Care Before Third Trimester - College Graduate,New Mexico,50.0,92.2,,,
Prenatal Care Before Third Trimester - College Graduate,New York,30.0,96.5,,,
Prenatal Care Before Third Trimester - College Graduate,North Carolina,34.0,96.4,,,
Prenatal Care Before Third Trimester - College Graduate,North Dakota,12.0,97.7,,,
Prenatal Care Before Third Trimester - College Graduate,Ohio,30.0,96.5,,,
Prenatal Care Before Third Trimester - College Graduate,Oklahoma,42.0,96.0,,,
Prenatal Care Before Third Trimester - College Graduate,Oregon,12.0,97.7,,,
Prenatal Care Before Third Trimester - College Graduate,Pennsylvania,39.0,96.1,,,
Prenatal Care Before Third Trimester - College Graduate,Rhode Island,2.0,98.9,,,
Prenatal Care Before Third Trimester - College Graduate,South Carolina,30.0,96.5,,,
Prenatal Care Before Third Trimester - College Graduate,South Dakota,12.0,97.7,,,
Prenatal Care Before Third Trimester - College Graduate,Tennessee,44.0,95.3,,,
Prenatal Care Before Third Trimester - College Graduate,Texas,49.0,93.2,,,
Prenatal Care Before Third Trimester - College Graduate,Utah,7.0,98.0,,,
Prenatal Care Before Third Trimester - College Graduate,Vermont,1.0,99.1,,,
Prenatal Care Before Third Trimester - College Graduate,Virginia,19.0,97.5,,,
Prenatal Care Before Third Trimester - College Graduate,Washington,39.0,96.1,,,
Prenatal Care Before Third Trimester - College Graduate,West Virginia,34.0,96.4,,,
Prenatal Care Before Third Trimester - College Graduate,Wisconsin,4.0,98.2,,,
Prenatal Care Before Third Trimester - College Graduate,Wyoming,25.0,96.9,,,
Prenatal Care Before Third Trimester - College Graduate,United States,,96.5,,,
Prenatal Care Before Third Trimester - College Graduate,District of Columbia,,95.2,,,
Prenatal Care Before Third Trimester - High School Graduate,Alabama,31.0,92.2,,,
Prenatal Care Before Third Trimester - High School Graduate,Alaska,21.0,92.8,,,
Prenatal Care Before Third Trimester - High School Graduate,Arizona,45.0,89.8,,,
Prenatal Care Before Third Trimester - High School Graduate,Arkansas,49.0,88.0,,,
Prenatal Care Before Third Trimester - High School Graduate,California,5.0,95.4,,,
Prenatal Care Before Third Trimester - High School Graduate,Colorado,31.0,92.2,,,
Prenatal Care Before Third Trimester - High School Graduate,Connecticut,4.0,95.6,,,
Prenatal Care Before Third Trimester - High School Graduate,Delaware,29.0,92.4,,,
Prenatal Care Before Third Trimester - High School Graduate,Florida,43.0,91.3,,,
Prenatal Care Before Third Trimester - High School Graduate,Georgia,46.0,89.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Hawaii,17.0,93.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Idaho,9.0,94.8,,,
Prenatal Care Before Third Trimester - High School Graduate,Illinois,39.0,91.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Indiana,24.0,92.6,,,
Prenatal Care Before Third Trimester - High School Graduate,Iowa,11.0,94.4,,,
Prenatal Care Before Third Trimester - High School Graduate,Kansas,10.0,94.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Kentucky,16.0,93.8,,,
Prenatal Care Before Third Trimester - High School Graduate,Louisiana,26.0,92.5,,,
Prenatal Care Before Third Trimester - High School Graduate,Maine,3.0,95.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Maryland,42.0,91.5,,,
Prenatal Care Before Third Trimester - High School Graduate,Massachusetts,21.0,92.8,,,
Prenatal Care Before Third Trimester - High School Graduate,Michigan,18.0,93.4,,,
Prenatal Care Before Third Trimester - High School Graduate,Minnesota,12.0,94.3,,,
Prenatal Care Before Third Trimester - High School Graduate,Mississippi,15.0,94.0,,,
Prenatal Care Before Third Trimester - High School Graduate,Missouri,33.0,92.1,,,
Prenatal Care Before Third Trimester - High School Graduate,Montana,24.0,92.6,,,
Prenatal Care Before Third Trimester - High School Graduate,Nebraska,34.0,92.0,,,
Prenatal Care Before Third Trimester - High School Graduate,Nevada,46.0,89.7,,,
Prenatal Care Before Third Trimester - High School Graduate,New Hampshire,6.0,95.1,,,
Prenatal Care Before Third Trimester - High School Graduate,New Jersey,36.0,91.9,,,
Prenatal Care Before Third Trimester - High School Graduate,New Mexico,50.0,87.8,,,
Prenatal Care Before Third Trimester - High School Graduate,New York,13.0,94.2,,,
Prenatal Care Before Third Trimester - High School Graduate,North Carolina,38.0,91.8,,,
Prenatal Care Before Third Trimester - High School Graduate,North Dakota,39.0,91.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Ohio,23.0,92.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Oklahoma,39.0,91.7,,,
Prenatal Care Before Third Trimester - High School Graduate,Oregon,13.0,94.2,,,
Prenatal Care Before Third Trimester - High School Graduate,Pennsylvania,36.0,91.9,,,
Prenatal Care Before Third Trimester - High School Graduate,Rhode Island,1.0,97.4,,,
Prenatal Care Before Third Trimester - High School Graduate,South Carolina,34.0,92.0,,,
Prenatal Care Before Third Trimester - High School Graduate,South Dakota,20.0,92.9,,,
Prenatal Care Before Third Trimester - High School Graduate,Tennessee,44.0,91.2,,,
Prenatal Care Before Third Trimester - High School Graduate,Texas,48.0,88.3,,,
Prenatal Care Before Third Trimester - High School Graduate,Utah,8.0,94.9,,,
Prenatal Care Before Third Trimester - High School Graduate,Vermont,1.0,97.4,,,
Prenatal Care Before Third Trimester - High School Graduate,Virginia,19.0,93.3,,,
Prenatal Care Before Third Trimester - High School Graduate,Washington,30.0,92.3,,,
Prenatal Care Before Third Trimester - High School Graduate,West Virginia,26.0,92.5,,,
Prenatal Care Before Third Trimester - High School Graduate,Wisconsin,7.0,95.0,,,
Prenatal Care Before Third Trimester - High School Graduate,Wyoming,26.0,92.5,,,
Prenatal Care Before Third Trimester - High School Graduate,United States,,92.2,,,
Prenatal Care Before Third Trimester - High School Graduate,District of Columbia,,86.0,,,
Prenatal Care Before Third Trimester - Hispanic,Alabama,,77.5,,,
Prenatal Care Before Third Trimester - Hispanic,Alaska,,94.5,,,
Prenatal Care Before Third Trimester - Hispanic,Arizona,,88.5,,,
Prenatal Care Before Third Trimester - Hispanic,Arkansas,,82.0,,,
Prenatal Care Before Third Trimester - Hispanic,California,,95.9,,,
Prenatal Care Before Third Trimester - Hispanic,Colorado,,91.7,,,
Prenatal Care Before Third Trimester - Hispanic,Connecticut,,95.9,,,
Prenatal Care Before Third Trimester - Hispanic,Delaware,,90.4,,,
Prenatal Care Before Third Trimester - Hispanic,Florida,,93.0,,,
Prenatal Care Before Third Trimester - Hispanic,Georgia,,88.4,,,
Prenatal Care Before Third Trimester - Hispanic,Hawaii,,94.4,,,
Prenatal Care Before Third Trimester - Hispanic,Idaho,,94.7,,,
Prenatal Care Before Third Trimester - Hispanic,Illinois,,93.0,,,
Prenatal Care Before Third Trimester - Hispanic,Indiana,,90.2,,,
Prenatal Care Before Third Trimester - Hispanic,Iowa,,93.0,,,
Prenatal Care Before Third Trimester - Hispanic,Kansas,,93.0,,,
Prenatal Care Before Third Trimester - Hispanic,Kentucky,,89.8,,,
Prenatal Care Before Third Trimester - Hispanic,Louisiana,,90.4,,,
Prenatal Care Before Third Trimester - Hispanic,Maine,,,,,
Prenatal Care Before Third Trimester - Hispanic,Maryland,,90.9,,,
Prenatal Care Before Third Trimester - Hispanic,Massachusetts,,93.8,,,
Prenatal Care Before Third Trimester - Hispanic,Michigan,,92.5,,,
Prenatal Care Before Third Trimester - Hispanic,Minnesota,,93.8,,,
Prenatal Care Before Third Trimester - Hispanic,Mississippi,,91.4,,,
Prenatal Care Before Third Trimester - Hispanic,Missouri,,90.1,,,
Prenatal Care Before Third Trimester - Hispanic,Montana,,92.8,,,
Prenatal Care Before Third Trimester - Hispanic,Nebraska,,88.8,,,
Prenatal Care Before Third Trimester - Hispanic,Nevada,,89.9,,,
Prenatal Care Before Third Trimester - Hispanic,New Hampshire,,96.3,,,
Prenatal Care Before Third Trimester - Hispanic,New Jersey,,93.0,,,
Prenatal Care Before Third Trimester - Hispanic,New Mexico,,87.8,,,
Prenatal Care Before Third Trimester - Hispanic,New York,,94.2,,,
Prenatal Care Before Third Trimester - Hispanic,North Carolina,,91.6,,,
Prenatal Care Before Third Trimester - Hispanic,North Dakota,,92.1,,,
Prenatal Care Before Third Trimester - Hispanic,Ohio,,91.5,,,
Prenatal Care Before Third Trimester - Hispanic,Oklahoma,,92.6,,,
Prenatal Care Before Third Trimester - Hispanic,Oregon,,94.4,,,
Prenatal Care Before Third Trimester - Hispanic,Pennsylvania,,91.2,,,
Prenatal Care Before Third Trimester - Hispanic,Rhode Island,,97.6,,,
Prenatal Care Before Third Trimester - Hispanic,South Carolina,,89.0,,,
Prenatal Care Before Third Trimester - Hispanic,South Dakota,,90.4,,,
Prenatal Care Before Third Trimester - Hispanic,Tennessee,,89.2,,,
Prenatal Care Before Third Trimester - Hispanic,Texas,,88.9,,,
Prenatal Care Before Third Trimester - Hispanic,Utah,,94.1,,,
Prenatal Care Before Third Trimester - Hispanic,Vermont,,,,,
Prenatal Care Before Third Trimester - Hispanic,Virginia,,91.7,,,
Prenatal Care Before Third Trimester - Hispanic,Washington,,93.7,,,
Prenatal Care Before Third Trimester - Hispanic,West Virginia,,90.6,,,
Prenatal Care Before Third Trimester - Hispanic,Wisconsin,,94.1,,,
Prenatal Care Before Third Trimester - Hispanic,Wyoming,,90.3,,,
Prenatal Care Before Third Trimester - Hispanic,United States,,92.3,,,
Prenatal Care Before Third Trimester - Hispanic,District of Columbia,,93.2,,,
Prenatal Care Before Third Trimester - Less than High School,Alabama,,82.0,,,
Prenatal Care Before Third Trimester - Less than High School,Alaska,,88.9,,,
Prenatal Care Before Third Trimester - Less than High School,Arizona,,83.8,,,
Prenatal Care Before Third Trimester - Less than High School,Arkansas,,79.3,,,
Prenatal Care Before Third Trimester - Less than High School,California,,93.2,,,
Prenatal Care Before Third Trimester - Less than High School,Colorado,,87.5,,,
