id,year,measure_name,state,rank,value
97,2009,High Health Status - Female,Virginia,39.0,58.2
98,2009,High Health Status - Female,Washington,31.0,57.0
99,2009,High Health Status - Female,West Virginia,1.0,43.5
100,2009,High Health Status - Female,Wisconsin,33.0,57.1
101,2009,High Health Status - Female,Wyoming,29.0,56.3
102,2009,High Health Status - Female,United States,,52.9
103,2009,High Health Status - Female,District of Columbia,,61.7
104,2009,Overall,Arizona,27.0,0.08199999999999999
105,2009,Overall,Arkansas,40.0,-0.416
106,2009,Overall,California,23.0,0.278
107,2009,Overall,Colorado,8.0,0.606
108,2009,Overall,Connecticut,7.0,0.779
109,2009,Overall,Delaware,32.0,-0.08199999999999999
110,2009,Overall,Florida,36.0,-0.2
111,2009,Overall,Alabama,48.0,-0.546
112,2009,Overall,Alaska,34.0,-0.091
113,2009,Overall,Georgia,43.0,-0.469
114,2009,Overall,Hawaii,4.0,0.892
115,2009,Overall,Idaho,14.0,0.524
116,2009,Overall,Illinois,29.0,-0.056
117,2009,Overall,Indiana,35.0,-0.188
118,2009,Overall,Iowa,15.0,0.503
119,2009,Overall,Kansas,24.0,0.245
120,2009,Overall,Kentucky,41.0,-0.434
121,2009,Overall,Louisiana,47.0,-0.53
122,2009,Overall,Maine,9.0,0.569
123,2009,Overall,Maryland,21.0,0.281
124,2009,Overall,Massachusetts,3.0,0.905
125,2009,Overall,Michigan,30.0,-0.063
126,2009,Overall,Minnesota,6.0,0.828
127,2009,Overall,Mississippi,50.0,-0.789
128,2009,Overall,Missouri,38.0,-0.238
129,2009,Overall,Montana,26.0,0.192
130,2009,Overall,Nebraska,16.0,0.475
131,2009,Overall,Nevada,45.0,-0.482
132,2009,Overall,New Hampshire,5.0,0.8859999999999999
133,2009,Overall,New Jersey,18.0,0.414
134,2009,Overall,New Mexico,31.0,-0.067
135,2009,Overall,New York,25.0,0.203
136,2009,Overall,North Carolina,37.0,-0.206
137,2009,Overall,North Dakota,17.0,0.421
138,2009,Overall,Ohio,33.0,-0.084
139,2009,Overall,Oklahoma,49.0,-0.5660000000000001
140,2009,Overall,Oregon,13.0,0.53
141,2009,Overall,Pennsylvania,28.0,-0.031
142,2009,Overall,Rhode Island,10.0,0.557
143,2009,Overall,South Carolina,46.0,-0.4920000000000001
144,2009,Overall,South Dakota,20.0,0.28600000000000003
145,2009,Overall,Tennessee,44.0,-0.48
146,2009,Overall,Texas,39.0,-0.32
147,2009,Overall,United States,,
148,2009,Overall,Utah,2.0,1.006
149,2009,Overall,Vermont,1.0,1.064
150,2009,Overall,Virginia,21.0,0.281
151,2009,Overall,Washington,11.0,0.5379999999999999
152,2009,Overall,West Virginia,42.0,-0.446
153,2009,Overall,Wisconsin,12.0,0.534
154,2009,Overall,Wyoming,19.0,0.343
155,2009,Overall,District of Columbia,,
156,2009,Primary Care Physicians,Alabama,40.0,100.7
157,2009,Primary Care Physicians,Alaska,28.0,112.3
158,2009,Primary Care Physicians,Arizona,43.0,91.4
159,2009,Primary Care Physicians,Arkansas,41.0,98.5
160,2009,Primary Care Physicians,California,21.0,118.7
161,2009,Primary Care Physicians,Colorado,23.0,116.1
162,2009,Primary Care Physicians,Connecticut,6.0,160.9
163,2009,Primary Care Physicians,Delaware,29.0,111.6
164,2009,Primary Care Physicians,Florida,30.0,107.5
165,2009,Primary Care Physicians,Georgia,38.0,101.2
166,2009,Primary Care Physicians,Hawaii,7.0,149.4
167,2009,Primary Care Physicians,Idaho,50.0,78.1
168,2009,Primary Care Physicians,Illinois,11.0,129.1
169,2009,Primary Care Physicians,Indiana,36.0,101.8
170,2009,Primary Care Physicians,Iowa,47.0,83.9
171,2009,Primary Care Physicians,Kansas,38.0,101.2
172,2009,Primary Care Physicians,Kentucky,35.0,104.2
173,2009,Primary Care Physicians,Louisiana,23.0,116.1
174,2009,Primary Care Physicians,Maine,10.0,129.3
175,2009,Primary Care Physicians,Maryland,2.0,179.7
176,2009,Primary Care Physicians,Massachusetts,1.0,190.0
177,2009,Primary Care Physicians,Michigan,26.0,114.2
178,2009,Primary Care Physicians,Minnesota,9.0,139.5
179,2009,Primary Care Physicians,Mississippi,48.0,81.6
180,2009,Primary Care Physicians,Missouri,32.0,107.0
181,2009,Primary Care Physicians,Montana,36.0,101.8
182,2009,Primary Care Physicians,Nebraska,22.0,116.5
183,2009,Primary Care Physicians,Nevada,46.0,86.8
184,2009,Primary Care Physicians,New Hampshire,13.0,127.0
185,2009,Primary Care Physicians,New Jersey,8.0,144.1
186,2009,Primary Care Physicians,New Mexico,27.0,113.7
187,2009,Primary Care Physicians,New York,4.0,169.4
188,2009,Primary Care Physicians,North Carolina,25.0,115.6
189,2009,Primary Care Physicians,North Dakota,17.0,122.7
190,2009,Primary Care Physicians,Ohio,20.0,118.9
191,2009,Primary Care Physicians,Oklahoma,49.0,80.7
192,2009,Primary Care Physicians,Oregon,16.0,124.9
193,2009,Primary Care Physicians,Pennsylvania,12.0,127.7
194,2009,Primary Care Physicians,Rhode Island,3.0,169.6
195,2009,Primary Care Physicians,South Carolina,33.0,105.9
196,2009,Primary Care Physicians,South Dakota,30.0,107.5
197,2009,Primary Care Physicians,Tennessee,18.0,122.0
198,2009,Primary Care Physicians,Texas,42.0,95.0
199,2009,Primary Care Physicians,Utah,45.0,87.9
200,2009,Primary Care Physicians,Vermont,5.0,168.8
201,2009,Primary Care Physicians,Virginia,14.0,125.0
202,2009,Primary Care Physicians,Washington,14.0,125.0
203,2009,Primary Care Physicians,West Virginia,34.0,104.7
204,2009,Primary Care Physicians,Wisconsin,19.0,120.0
205,2009,Primary Care Physicians,Wyoming,44.0,89.6
206,2009,Primary Care Physicians,United States,,120.6
207,2009,Primary Care Physicians,District of Columbia,,320.0
208,2010,All Determinants,New Mexico,34.0,-0.108
209,2010,All Determinants,New York,26.0,0.042
210,2010,All Determinants,North Carolina,35.0,-0.123
211,2010,All Determinants,North Dakota,11.0,0.365
212,2010,All Determinants,Ohio,30.0,-0.039
213,2010,All Determinants,Oklahoma,45.0,-0.318
214,2010,All Determinants,Oregon,14.0,0.334
215,2010,All Determinants,Pennsylvania,28.0,0.009000000000000001
216,2010,All Determinants,Rhode Island,10.0,0.406
217,2010,All Determinants,South Carolina,44.0,-0.297
218,2010,All Determinants,South Dakota,19.0,0.28
219,2010,All Determinants,Tennessee,39.0,-0.244
220,2010,All Determinants,Texas,46.0,-0.416
221,2010,All Determinants,Utah,5.0,0.6
222,2010,All Determinants,Vermont,1.0,0.863
223,2010,All Determinants,Virginia,22.0,0.233
224,2010,All Determinants,Washington,13.0,0.342
225,2010,All Determinants,West Virginia,38.0,-0.224
226,2010,All Determinants,Wisconsin,18.0,0.297
227,2010,All Determinants,Wyoming,16.0,0.32
228,2010,All Determinants,United States,,
229,2010,All Determinants,District of Columbia,,
230,2010,All Determinants,Alabama,42.0,-0.274
231,2010,All Determinants,Alaska,31.0,-0.043
232,2010,All Determinants,Arizona,32.0,-0.086
233,2010,All Determinants,Arkansas,48.0,-0.459
234,2010,All Determinants,California,25.0,0.075
235,2010,All Determinants,Colorado,14.0,0.334
236,2010,All Determinants,Connecticut,3.0,0.637
237,2010,All Determinants,Delaware,33.0,-0.087
238,2010,All Determinants,Florida,36.0,-0.124
239,2010,All Determinants,Georgia,37.0,-0.209
240,2010,All Determinants,Hawaii,6.0,0.528
241,2010,All Determinants,Idaho,9.0,0.419
242,2010,All Determinants,Illinois,29.0,-0.036000000000000004
243,2010,All Determinants,Indiana,43.0,-0.295
244,2010,All Determinants,Iowa,21.0,0.247
245,2010,All Determinants,Kansas,24.0,0.154
246,2010,All Determinants,Kentucky,40.0,-0.262
247,2010,All Determinants,Louisiana,47.0,-0.435
248,2010,All Determinants,Maine,8.0,0.483
249,2010,All Determinants,Maryland,20.0,0.268
250,2010,All Determinants,Massachusetts,4.0,0.617
251,2010,All Determinants,Michigan,27.0,0.024
252,2010,All Determinants,Minnesota,7.0,0.517
253,2010,All Determinants,Mississippi,50.0,-0.479
254,2010,All Determinants,Missouri,41.0,-0.269
255,2010,All Determinants,Montana,23.0,0.208
256,2010,All Determinants,Nebraska,12.0,0.35200000000000004
257,2010,All Determinants,Nevada,49.0,-0.468
258,2010,All Determinants,New Hampshire,2.0,0.642
259,2010,All Determinants,New Jersey,17.0,0.307
260,2010,High Health Status - Female,Alabama,4.0,46.7
261,2010,High Health Status - Female,Alaska,31.0,57.2
262,2010,High Health Status - Female,Arizona,16.0,52.5
263,2010,High Health Status - Female,Arkansas,10.0,48.7
264,2010,High Health Status - Female,California,13.0,50.4
265,2010,High Health Status - Female,Colorado,44.0,60.4
266,2010,High Health Status - Female,Connecticut,48.0,62.2
267,2010,High Health Status - Female,Delaware,41.0,59.5
268,2010,High Health Status - Female,Florida,23.0,53.7
269,2010,High Health Status - Female,Georgia,18.0,53.0
270,2010,High Health Status - Female,Hawaii,9.0,48.6
271,2010,High Health Status - Female,Idaho,28.0,56.4
272,2010,High Health Status - Female,Illinois,20.0,53.4
273,2010,High Health Status - Female,Indiana,7.0,48.5
274,2010,High Health Status - Female,Iowa,34.0,57.7
275,2010,High Health Status - Female,Kansas,30.0,56.9
276,2010,High Health Status - Female,Kentucky,3.0,45.9
277,2010,High Health Status - Female,Louisiana,6.0,48.1
278,2010,High Health Status - Female,Maine,39.0,58.7
279,2010,High Health Status - Female,Maryland,35.0,58.0
280,2010,High Health Status - Female,Massachusetts,47.0,62.1
281,2010,High Health Status - Female,Michigan,22.0,53.6
282,2010,High Health Status - Female,Minnesota,49.0,62.6
283,2010,High Health Status - Female,Mississippi,2.0,45.7
284,2010,High Health Status - Female,Missouri,24.0,53.8
285,2010,High Health Status - Female,Montana,31.0,57.2
286,2010,High Health Status - Female,Nebraska,28.0,56.4
287,2010,High Health Status - Female,Nevada,26.0,55.4
288,2010,High Health Status - Female,New Hampshire,46.0,61.6
289,2010,High Health Status - Female,New Jersey,25.0,55.2
290,2010,High Health Status - Female,New Mexico,14.0,50.8
291,2010,High Health Status - Female,New York,18.0,53.0
292,2010,High Health Status - Female,North Carolina,11.0,49.8
293,2010,High Health Status - Female,North Dakota,35.0,58.0
294,2010,High Health Status - Female,Ohio,17.0,52.6
295,2010,High Health Status - Female,Oklahoma,5.0,46.9
296,2010,High Health Status - Female,Oregon,45.0,61.0
297,2010,High Health Status - Female,Pennsylvania,21.0,53.5
298,2010,High Health Status - Female,Rhode Island,37.0,58.1
299,2010,High Health Status - Female,South Carolina,11.0,49.8
300,2010,High Health Status - Female,South Dakota,42.0,59.6
301,2010,High Health Status - Female,Tennessee,15.0,51.3
302,2010,High Health Status - Female,Texas,7.0,48.5
303,2010,High Health Status - Female,Utah,43.0,60.2
304,2010,High Health Status - Female,Vermont,50.0,63.1
305,2010,High Health Status - Female,Virginia,40.0,59.1
306,2010,High Health Status - Female,Washington,27.0,56.1
307,2010,High Health Status - Female,West Virginia,1.0,45.6
308,2010,High Health Status - Female,Wisconsin,38.0,58.5
309,2010,High Health Status - Female,Wyoming,33.0,57.6
310,2010,High Health Status - Female,United States,,53.2
311,2010,High Health Status - Female,District of Columbia,,62.4
312,2010,Overall,Alaska,30.0,0.008
313,2010,Overall,Arizona,31.0,-0.01
314,2010,Overall,Arkansas,48.0,-0.591
315,2010,Overall,California,26.0,0.222
316,2010,Overall,Colorado,13.0,0.521
317,2010,Overall,Connecticut,4.0,0.857
318,2010,Overall,Delaware,32.0,-0.037000000000000005
319,2010,Overall,Florida,36.0,-0.192
320,2010,Overall,Georgia,37.0,-0.22
321,2010,Overall,Hawaii,5.0,0.8170000000000001
322,2010,Overall,Idaho,9.0,0.555
323,2010,Overall,Illinois,29.0,0.03
324,2010,Overall,Indiana,38.0,-0.309
325,2010,Overall,Iowa,15.0,0.501
326,2010,Overall,Kansas,23.0,0.245
327,2010,Overall,Kentucky,44.0,-0.423
328,2010,Overall,Louisiana,49.0,-0.6459999999999999
329,2010,Overall,Maine,8.0,0.624
330,2010,Overall,Maryland,21.0,0.267
331,2010,Overall,Massachusetts,2.0,0.8909999999999999
332,2010,Overall,Michigan,28.0,0.034
333,2010,Overall,Minnesota,6.0,0.815
334,2010,Overall,Mississippi,50.0,-0.743
335,2010,Overall,Missouri,39.0,-0.311
336,2010,Overall,Montana,25.0,0.236
337,2010,Overall,Nebraska,12.0,0.53
338,2010,Overall,Nevada,47.0,-0.525
339,2010,Overall,New Hampshire,3.0,0.878
340,2010,Overall,New Jersey,17.0,0.482
341,2010,Overall,New Mexico,34.0,-0.069
342,2010,Overall,New York,24.0,0.242
343,2010,Overall,North Carolina,35.0,-0.174
344,2010,Overall,North Dakota,16.0,0.487
345,2010,Overall,Ohio,33.0,-0.057
346,2010,Overall,Oklahoma,46.0,-0.495
347,2010,Overall,Oregon,14.0,0.509
348,2010,Overall,Pennsylvania,27.0,0.048
349,2010,Overall,Rhode Island,10.0,0.5479999999999999
350,2010,Overall,South Carolina,41.0,-0.396
351,2010,Overall,South Dakota,20.0,0.298
352,2010,Overall,Tennessee,42.0,-0.4
353,2010,Overall,Texas,40.0,-0.366
354,2010,Overall,Utah,7.0,0.804
355,2010,Overall,Vermont,1.0,1.117
356,2010,Overall,Virginia,22.0,0.261
357,2010,Overall,Washington,11.0,0.544
358,2010,Overall,West Virginia,43.0,-0.414
359,2010,Overall,Wisconsin,18.0,0.454
360,2010,Overall,Wyoming,19.0,0.403
361,2010,Overall,United States,,
362,2010,Overall,District of Columbia,,
363,2010,Overall,Alabama,45.0,-0.491
364,2010,Primary Care Physicians,Alabama,39.0,100.5
365,2010,Primary Care Physicians,Alaska,28.0,112.6
366,2010,Primary Care Physicians,Arizona,44.0,91.7
367,2010,Primary Care Physicians,Arkansas,41.0,98.6
368,2010,Primary Care Physicians,California,21.0,118.8
369,2010,Primary Care Physicians,Colorado,23.0,116.0
370,2010,Primary Care Physicians,Connecticut,6.0,162.7
371,2010,Primary Care Physicians,Delaware,29.0,110.6
372,2010,Primary Care Physicians,Florida,31.0,108.0
373,2010,Primary Care Physicians,Georgia,40.0,99.8
374,2010,Primary Care Physicians,Hawaii,7.0,148.5
375,2010,Primary Care Physicians,Idaho,50.0,76.1
376,2010,Primary Care Physicians,Illinois,11.0,129.5
377,2010,Primary Care Physicians,Indiana,37.0,101.8
378,2010,Primary Care Physicians,Iowa,47.0,84.0
379,2010,Primary Care Physicians,Kansas,36.0,102.5
380,2010,Primary Care Physicians,Kentucky,35.0,103.9
381,2010,Primary Care Physicians,Louisiana,25.0,115.8
382,2010,Primary Care Physicians,Maine,12.0,127.7
383,2010,Primary Care Physicians,Maryland,2.0,179.4
384,2010,Primary Care Physicians,Massachusetts,1.0,191.3
385,2010,Primary Care Physicians,Michigan,26.0,115.2
386,2010,Primary Care Physicians,Minnesota,9.0,139.5
387,2010,Primary Care Physicians,Mississippi,48.0,81.9
388,2010,Primary Care Physicians,Missouri,32.0,106.6
389,2010,Primary Care Physicians,Montana,38.0,101.4
390,2010,Primary Care Physicians,Nebraska,22.0,118.0
391,2010,Primary Care Physicians,Nevada,46.0,86.2
392,2010,Primary Care Physicians,New Hampshire,10.0,129.8
393,2010,Primary Care Physicians,New Jersey,8.0,143.1
394,2010,Primary Care Physicians,New Mexico,27.0,113.5
395,2010,Primary Care Physicians,New York,5.0,168.1
396,2010,Primary Care Physicians,North Carolina,23.0,116.0
397,2010,Primary Care Physicians,North Dakota,17.0,123.6
398,2010,Primary Care Physicians,Ohio,20.0,118.9
399,2010,Primary Care Physicians,Oklahoma,49.0,80.3
400,2010,Primary Care Physicians,Oregon,14.0,126.5
401,2010,Primary Care Physicians,Pennsylvania,13.0,127.2
402,2010,Primary Care Physicians,Rhode Island,4.0,169.2
403,2010,Primary Care Physicians,South Carolina,34.0,104.3
404,2010,Primary Care Physicians,South Dakota,30.0,109.4
405,2010,Primary Care Physicians,Tennessee,18.0,121.2
406,2010,Primary Care Physicians,Texas,42.0,95.4
407,2010,Primary Care Physicians,Utah,45.0,87.4
408,2010,Primary Care Physicians,Vermont,3.0,170.7
409,2010,Primary Care Physicians,Virginia,15.0,125.1
410,2010,Primary Care Physicians,Washington,16.0,124.6
411,2010,Primary Care Physicians,West Virginia,33.0,105.4
412,2010,Primary Care Physicians,Wisconsin,19.0,120.6
413,2010,Primary Care Physicians,Wyoming,43.0,92.7
414,2010,Primary Care Physicians,United States,,120.5
415,2010,Primary Care Physicians,District of Columbia,,328.1
416,2011,All Determinants,Texas,49.0,-0.539
417,2011,All Determinants,Ohio,36.0,-0.19
418,2011,All Determinants,Vermont,1.0,0.904
419,2011,All Determinants,New Hampshire,3.0,0.723
420,2011,All Determinants,Rhode Island,9.0,0.397
421,2011,All Determinants,Kentucky,42.0,-0.321
422,2011,All Determinants,New York,21.0,0.196
423,2011,All Determinants,Montana,26.0,0.09
424,2011,All Determinants,Alabama,43.0,-0.342
425,2011,All Determinants,Nevada,45.0,-0.4370000000000001
426,2011,All Determinants,New Mexico,35.0,-0.166
427,2011,All Determinants,Florida,30.0,-0.012
428,2011,All Determinants,Michigan,32.0,-0.025
429,2011,All Determinants,Wyoming,19.0,0.244
430,2011,All Determinants,Oregon,12.0,0.316
431,2011,All Determinants,Virginia,15.0,0.306
432,2011,All Determinants,Tennessee,37.0,-0.194
433,2011,All Determinants,North Dakota,11.0,0.35100000000000003
434,2011,All Determinants,Louisiana,50.0,-0.568
435,2011,All Determinants,Pennsylvania,25.0,0.099
436,2011,All Determinants,Idaho,22.0,0.185
437,2011,All Determinants,South Dakota,18.0,0.245
438,2011,All Determinants,Kansas,27.0,0.04
439,2011,All Determinants,South Carolina,44.0,-0.397
440,2011,All Determinants,Minnesota,7.0,0.442
441,2011,All Determinants,Maine,8.0,0.425
442,2011,All Determinants,Nebraska,20.0,0.233
443,2011,All Determinants,Alaska,39.0,-0.22
444,2011,All Determinants,California,24.0,0.115
445,2011,All Determinants,Washington,17.0,0.25
446,2011,All Determinants,United States,,
447,2011,All Determinants,Connecticut,2.0,0.758
448,2011,All Determinants,Illinois,28.0,0.018000000000000002
449,2011,All Determinants,Massachusetts,5.0,0.597
450,2011,All Determinants,West Virginia,34.0,-0.16399999999999998
451,2011,All Determinants,Georgia,38.0,-0.212
452,2011,All Determinants,New Jersey,12.0,0.316
453,2011,All Determinants,Colorado,10.0,0.384
454,2011,All Determinants,Utah,6.0,0.47
455,2011,All Determinants,Hawaii,4.0,0.621
456,2011,All Determinants,Oklahoma,47.0,-0.475
457,2011,All Determinants,Iowa,23.0,0.154
458,2011,All Determinants,Arkansas,46.0,-0.473
459,2011,All Determinants,District of Columbia,,
460,2011,All Determinants,Indiana,41.0,-0.28600000000000003
461,2011,All Determinants,Missouri,40.0,-0.285
462,2011,All Determinants,Delaware,33.0,-0.056
463,2011,All Determinants,Arizona,29.0,0.016
464,2011,All Determinants,Maryland,16.0,0.253
465,2011,All Determinants,Mississippi,48.0,-0.513
466,2011,All Determinants,North Carolina,31.0,-0.019
467,2011,All Determinants,Wisconsin,14.0,0.307
468,2011,High Health Status - Female,Alabama,1.0,43.5
469,2011,High Health Status - Female,Alaska,41.0,59.2
470,2011,High Health Status - Female,Arizona,19.0,53.1
471,2011,High Health Status - Female,Arkansas,5.0,47.4
472,2011,High Health Status - Female,California,17.0,52.0
473,2011,High Health Status - Female,Colorado,46.0,61.1
474,2011,High Health Status - Female,Connecticut,45.0,60.8
475,2011,High Health Status - Female,Delaware,32.0,56.8
476,2011,High Health Status - Female,Florida,21.0,53.3
477,2011,High Health Status - Female,Georgia,16.0,51.8
478,2011,High Health Status - Female,Hawaii,8.0,48.3
479,2011,High Health Status - Female,Idaho,27.0,55.4
480,2011,High Health Status - Female,Illinois,18.0,53.0
481,2011,High Health Status - Female,Indiana,11.0,50.6
482,2011,High Health Status - Female,Iowa,32.0,56.8
483,2011,High Health Status - Female,Kansas,34.0,57.2
484,2011,High Health Status - Female,Kentucky,5.0,47.4
485,2011,High Health Status - Female,Louisiana,9.0,48.6
486,2011,High Health Status - Female,Maine,37.0,58.2
487,2011,High Health Status - Female,Maryland,30.0,55.9
488,2011,High Health Status - Female,Massachusetts,48.0,61.7
489,2011,High Health Status - Female,Michigan,20.0,53.2
490,2011,High Health Status - Female,Minnesota,47.0,61.2
491,2011,High Health Status - Female,Mississippi,2.0,43.9
492,2011,High Health Status - Female,Missouri,12.0,50.8
493,2011,High Health Status - Female,Montana,38.0,58.4
494,2011,High Health Status - Female,Nebraska,36.0,57.4
495,2011,High Health Status - Female,Nevada,23.0,53.4
496,2011,High Health Status - Female,New Hampshire,50.0,62.9
497,2011,High Health Status - Female,New Jersey,24.0,53.6
498,2011,High Health Status - Female,New Mexico,10.0,50.4
499,2011,High Health Status - Female,New York,26.0,55.1
500,2011,High Health Status - Female,North Carolina,13.0,51.0
501,2011,High Health Status - Female,North Dakota,28.0,55.5
502,2011,High Health Status - Female,Ohio,21.0,53.3
503,2011,High Health Status - Female,Oklahoma,4.0,47.3
504,2011,High Health Status - Female,Oregon,31.0,56.5
505,2011,High Health Status - Female,Pennsylvania,25.0,53.9
506,2011,High Health Status - Female,Rhode Island,35.0,57.3
507,2011,High Health Status - Female,South Carolina,15.0,51.6
508,2011,High Health Status - Female,South Dakota,44.0,60.5
509,2011,High Health Status - Female,Tennessee,13.0,51.0
510,2011,High Health Status - Female,Texas,7.0,48.1
511,2011,High Health Status - Female,Utah,42.0,59.8
512,2011,High Health Status - Female,Vermont,49.0,62.1
513,2011,High Health Status - Female,Virginia,38.0,58.4
514,2011,High Health Status - Female,Washington,29.0,55.8
515,2011,High Health Status - Female,West Virginia,2.0,43.9
516,2011,High Health Status - Female,Wisconsin,43.0,59.9
517,2011,High Health Status - Female,Wyoming,40.0,58.6
518,2011,High Health Status - Female,United States,,53.2
519,2011,High Health Status - Female,District of Columbia,,59.3
520,2011,Overall,Alabama,48.0,-0.802
521,2011,Overall,Alaska,29.0,0.04
522,2011,Overall,Arizona,27.0,0.13699999999999998
523,2011,Overall,Arkansas,47.0,-0.7170000000000001
524,2011,Overall,California,22.0,0.304
525,2011,Overall,Colorado,14.0,0.5429999999999999
526,2011,Overall,Connecticut,4.0,0.944
527,2011,Overall,Delaware,31.0,-0.005
528,2011,Overall,Florida,34.0,-0.16399999999999998
529,2011,Overall,Georgia,38.0,-0.396
530,2011,Overall,Hawaii,3.0,0.958
531,2011,Overall,Idaho,15.0,0.531
532,2011,Overall,Illinois,30.0,0.008
533,2011,Overall,Indiana,37.0,-0.28800000000000003
534,2011,Overall,Iowa,16.0,0.505
535,2011,Overall,Kansas,25.0,0.195
536,2011,Overall,Kentucky,44.0,-0.603
537,2011,Overall,Louisiana,50.0,-1.133
538,2011,Overall,Maine,10.0,0.628
539,2011,Overall,Maryland,24.0,0.203
