year,measure_name,state,rank,value
2009,Overall,Louisiana,47.0,-0.53
2009,Overall,Maine,9.0,0.569
2009,Overall,Maryland,21.0,0.281
2009,Overall,Massachusetts,3.0,0.905
2009,Overall,Michigan,30.0,-0.063
2009,Overall,Minnesota,6.0,0.828
2009,Overall,Mississippi,50.0,-0.789
2009,Overall,Missouri,38.0,-0.23800000000000002
2009,Overall,Montana,26.0,0.192
2009,Overall,Nebraska,16.0,0.475
2009,Overall,Nevada,45.0,-0.48200000000000004
2009,Overall,New Hampshire,5.0,0.8859999999999999
2009,Overall,New Jersey,18.0,0.414
2009,Overall,New Mexico,31.0,-0.067
2009,Overall,New York,25.0,0.203
2009,Overall,North Carolina,37.0,-0.20600000000000002
2009,Overall,North Dakota,17.0,0.42100000000000004
2009,Overall,Ohio,33.0,-0.084
2009,Overall,Oklahoma,49.0,-0.5660000000000001
2009,Overall,Oregon,13.0,0.53
2009,Overall,Pennsylvania,28.0,-0.031
2009,Overall,Rhode Island,10.0,0.557
2009,Overall,South Carolina,46.0,-0.49200000000000005
2009,Overall,South Dakota,20.0,0.28600000000000003
2009,Overall,Tennessee,44.0,-0.48
2009,Overall,Texas,39.0,-0.32
2009,Overall,United States,,
2009,Overall,Utah,2.0,1.006
2009,Overall,Vermont,1.0,1.064
2009,Overall,Virginia,21.0,0.281
2009,Overall,Washington,11.0,0.5379999999999999
2009,Overall,West Virginia,42.0,-0.446
2009,Overall,Wisconsin,12.0,0.534
2009,Overall,Wyoming,19.0,0.34299999999999997
2009,Overall,District of Columbia,,
2009,Primary Care Physicians,Alabama,40.0,100.7
2009,Primary Care Physicians,Alaska,28.0,112.3
2009,Primary Care Physicians,Arizona,43.0,91.4
2009,Primary Care Physicians,Arkansas,41.0,98.5
2009,Primary Care Physicians,California,21.0,118.7
2009,Primary Care Physicians,Colorado,23.0,116.1
2009,Primary Care Physicians,Connecticut,6.0,160.9
2009,Primary Care Physicians,Delaware,29.0,111.6
2009,Primary Care Physicians,Florida,30.0,107.5
2009,Primary Care Physicians,Georgia,38.0,101.2
2009,Primary Care Physicians,Hawaii,7.0,149.4
2009,Primary Care Physicians,Idaho,50.0,78.1
2009,Primary Care Physicians,Illinois,11.0,129.1
2009,Primary Care Physicians,Indiana,36.0,101.8
2009,Primary Care Physicians,Iowa,47.0,83.9
2009,Primary Care Physicians,Kansas,38.0,101.2
2009,Primary Care Physicians,Kentucky,35.0,104.2
2009,Primary Care Physicians,Louisiana,23.0,116.1
2009,Primary Care Physicians,Maine,10.0,129.3
2009,Primary Care Physicians,Maryland,2.0,179.7
2009,Primary Care Physicians,Massachusetts,1.0,190.0
2009,Primary Care Physicians,Michigan,26.0,114.2
2009,Primary Care Physicians,Minnesota,9.0,139.5
2009,Primary Care Physicians,Mississippi,48.0,81.6
2009,Primary Care Physicians,Missouri,32.0,107.0
2009,Primary Care Physicians,Montana,36.0,101.8
2009,Primary Care Physicians,Nebraska,22.0,116.5
2009,Primary Care Physicians,Nevada,46.0,86.8
2009,Primary Care Physicians,New Hampshire,13.0,127.0
2009,Primary Care Physicians,New Jersey,8.0,144.1
2009,Primary Care Physicians,New Mexico,27.0,113.7
2009,Primary Care Physicians,New York,4.0,169.4
2009,Primary Care Physicians,North Carolina,25.0,115.6
2009,Primary Care Physicians,North Dakota,17.0,122.7
2009,Primary Care Physicians,Ohio,20.0,118.9
2009,Primary Care Physicians,Oklahoma,49.0,80.7
2009,Primary Care Physicians,Oregon,16.0,124.9
2009,Primary Care Physicians,Pennsylvania,12.0,127.7
2009,Primary Care Physicians,Rhode Island,3.0,169.6
2009,Primary Care Physicians,South Carolina,33.0,105.9
2009,Primary Care Physicians,South Dakota,30.0,107.5
2009,Primary Care Physicians,Tennessee,18.0,122.0
2009,Primary Care Physicians,Texas,42.0,95.0
2009,Primary Care Physicians,Utah,45.0,87.9
2009,Primary Care Physicians,Vermont,5.0,168.8
2009,Primary Care Physicians,Virginia,14.0,125.0
2009,Primary Care Physicians,Washington,14.0,125.0
2009,Primary Care Physicians,West Virginia,34.0,104.7
2009,Primary Care Physicians,Wisconsin,19.0,120.0
2009,Primary Care Physicians,Wyoming,44.0,89.6
2009,Primary Care Physicians,United States,,120.6
2009,Primary Care Physicians,District of Columbia,,320.0
2010,All Determinants,New Mexico,34.0,-0.10800000000000001
2010,All Determinants,New York,26.0,0.042
2010,All Determinants,North Carolina,35.0,-0.12300000000000001
2010,All Determinants,North Dakota,11.0,0.365
2010,All Determinants,Ohio,30.0,-0.039
2010,All Determinants,Oklahoma,45.0,-0.318
2010,All Determinants,Oregon,14.0,0.33399999999999996
2010,All Determinants,Pennsylvania,28.0,0.009000000000000001
2010,All Determinants,Rhode Island,10.0,0.406
2010,All Determinants,South Carolina,44.0,-0.297
2010,All Determinants,South Dakota,19.0,0.28
2010,All Determinants,Tennessee,39.0,-0.244
2010,All Determinants,Texas,46.0,-0.41600000000000004
2010,All Determinants,Utah,5.0,0.6
2010,All Determinants,Vermont,1.0,0.863
2010,All Determinants,Virginia,22.0,0.233
2010,All Determinants,Washington,13.0,0.342
2010,All Determinants,West Virginia,38.0,-0.22399999999999998
2010,All Determinants,Wisconsin,18.0,0.297
2010,All Determinants,Wyoming,16.0,0.32
2010,All Determinants,United States,,
2010,All Determinants,District of Columbia,,
2010,All Determinants,Alabama,42.0,-0.27399999999999997
2010,All Determinants,Alaska,31.0,-0.043
2010,All Determinants,Arizona,32.0,-0.086
2010,All Determinants,Arkansas,48.0,-0.45899999999999996
2010,All Determinants,California,25.0,0.075
2010,All Determinants,Colorado,14.0,0.33399999999999996
2010,All Determinants,Connecticut,3.0,0.637
2010,All Determinants,Delaware,33.0,-0.087
2010,All Determinants,Florida,36.0,-0.124
2010,All Determinants,Georgia,37.0,-0.209
2010,All Determinants,Hawaii,6.0,0.528
2010,All Determinants,Idaho,9.0,0.419
2010,All Determinants,Illinois,29.0,-0.036000000000000004
2010,All Determinants,Indiana,43.0,-0.295
2010,All Determinants,Iowa,21.0,0.247
2010,All Determinants,Kansas,24.0,0.154
2010,All Determinants,Kentucky,40.0,-0.262
2010,All Determinants,Louisiana,47.0,-0.435
2010,All Determinants,Maine,8.0,0.483
2010,All Determinants,Maryland,20.0,0.268
2010,All Determinants,Massachusetts,4.0,0.617
2010,All Determinants,Michigan,27.0,0.024
2010,All Determinants,Minnesota,7.0,0.517
2010,All Determinants,Mississippi,50.0,-0.479
2010,All Determinants,Missouri,41.0,-0.26899999999999996
2010,All Determinants,Montana,23.0,0.20800000000000002
2010,All Determinants,Nebraska,12.0,0.35200000000000004
2010,All Determinants,Nevada,49.0,-0.46799999999999997
2010,All Determinants,New Hampshire,2.0,0.642
2010,All Determinants,New Jersey,17.0,0.307
2010,High Health Status - Female,Alabama,4.0,46.7
2010,High Health Status - Female,Alaska,31.0,57.2
2010,High Health Status - Female,Arizona,16.0,52.5
2010,High Health Status - Female,Arkansas,10.0,48.7
2010,High Health Status - Female,California,13.0,50.4
2010,High Health Status - Female,Colorado,44.0,60.4
2010,High Health Status - Female,Connecticut,48.0,62.2
2010,High Health Status - Female,Delaware,41.0,59.5
2010,High Health Status - Female,Florida,23.0,53.7
2010,High Health Status - Female,Georgia,18.0,53.0
2010,High Health Status - Female,Hawaii,9.0,48.6
2010,High Health Status - Female,Idaho,28.0,56.4
2010,High Health Status - Female,Illinois,20.0,53.4
2010,High Health Status - Female,Indiana,7.0,48.5
2010,High Health Status - Female,Iowa,34.0,57.7
2010,High Health Status - Female,Kansas,30.0,56.9
2010,High Health Status - Female,Kentucky,3.0,45.9
2010,High Health Status - Female,Louisiana,6.0,48.1
2010,High Health Status - Female,Maine,39.0,58.7
2010,High Health Status - Female,Maryland,35.0,58.0
2010,High Health Status - Female,Massachusetts,47.0,62.1
2010,High Health Status - Female,Michigan,22.0,53.6
2010,High Health Status - Female,Minnesota,49.0,62.6
2010,High Health Status - Female,Mississippi,2.0,45.7
2010,High Health Status - Female,Missouri,24.0,53.8
2010,High Health Status - Female,Montana,31.0,57.2
2010,High Health Status - Female,Nebraska,28.0,56.4
2010,High Health Status - Female,Nevada,26.0,55.4
2010,High Health Status - Female,New Hampshire,46.0,61.6
2010,High Health Status - Female,New Jersey,25.0,55.2
2010,High Health Status - Female,New Mexico,14.0,50.8
2010,High Health Status - Female,New York,18.0,53.0
2010,High Health Status - Female,North Carolina,11.0,49.8
2010,High Health Status - Female,North Dakota,35.0,58.0
2010,High Health Status - Female,Ohio,17.0,52.6
2010,High Health Status - Female,Oklahoma,5.0,46.9
2010,High Health Status - Female,Oregon,45.0,61.0
2010,High Health Status - Female,Pennsylvania,21.0,53.5
2010,High Health Status - Female,Rhode Island,37.0,58.1
2010,High Health Status - Female,South Carolina,11.0,49.8
2010,High Health Status - Female,South Dakota,42.0,59.6
2010,High Health Status - Female,Tennessee,15.0,51.3
2010,High Health Status - Female,Texas,7.0,48.5
2010,High Health Status - Female,Utah,43.0,60.2
2010,High Health Status - Female,Vermont,50.0,63.1
2010,High Health Status - Female,Virginia,40.0,59.1
2010,High Health Status - Female,Washington,27.0,56.1
2010,High Health Status - Female,West Virginia,1.0,45.6
2010,High Health Status - Female,Wisconsin,38.0,58.5
2010,High Health Status - Female,Wyoming,33.0,57.6
2010,High Health Status - Female,United States,,53.2
2010,High Health Status - Female,District of Columbia,,62.4
2010,Overall,Alaska,30.0,0.008
2010,Overall,Arizona,31.0,-0.01
2010,Overall,Arkansas,48.0,-0.591
2010,Overall,California,26.0,0.222
2010,Overall,Colorado,13.0,0.521
2010,Overall,Connecticut,4.0,0.857
2010,Overall,Delaware,32.0,-0.037000000000000005
2010,Overall,Florida,36.0,-0.192
2010,Overall,Georgia,37.0,-0.22
2010,Overall,Hawaii,5.0,0.8170000000000001
2010,Overall,Idaho,9.0,0.555
2010,Overall,Illinois,29.0,0.03
2010,Overall,Indiana,38.0,-0.309
2010,Overall,Iowa,15.0,0.501
2010,Overall,Kansas,23.0,0.245
2010,Overall,Kentucky,44.0,-0.423
2010,Overall,Louisiana,49.0,-0.6459999999999999
2010,Overall,Maine,8.0,0.624
2010,Overall,Maryland,21.0,0.267
2010,Overall,Massachusetts,2.0,0.8909999999999999
2010,Overall,Michigan,28.0,0.034
2010,Overall,Minnesota,6.0,0.815
2010,Overall,Mississippi,50.0,-0.743
2010,Overall,Missouri,39.0,-0.311
2010,Overall,Montana,25.0,0.23600000000000002
2010,Overall,Nebraska,12.0,0.53
2010,Overall,Nevada,47.0,-0.525
2010,Overall,New Hampshire,3.0,0.878
2010,Overall,New Jersey,17.0,0.48200000000000004
2010,Overall,New Mexico,34.0,-0.069
2010,Overall,New York,24.0,0.242
2010,Overall,North Carolina,35.0,-0.174
2010,Overall,North Dakota,16.0,0.48700000000000004
2010,Overall,Ohio,33.0,-0.057
2010,Overall,Oklahoma,46.0,-0.495
2010,Overall,Oregon,14.0,0.509
2010,Overall,Pennsylvania,27.0,0.048
2010,Overall,Rhode Island,10.0,0.5479999999999999
2010,Overall,South Carolina,41.0,-0.396
2010,Overall,South Dakota,20.0,0.298
2010,Overall,Tennessee,42.0,-0.4
2010,Overall,Texas,40.0,-0.366
2010,Overall,Utah,7.0,0.804
2010,Overall,Vermont,1.0,1.117
2010,Overall,Virginia,22.0,0.261
2010,Overall,Washington,11.0,0.544
2010,Overall,West Virginia,43.0,-0.414
2010,Overall,Wisconsin,18.0,0.45399999999999996
2010,Overall,Wyoming,19.0,0.40299999999999997
2010,Overall,United States,,
2010,Overall,District of Columbia,,
2010,Overall,Alabama,45.0,-0.491
2010,Primary Care Physicians,Alabama,39.0,100.5
2010,Primary Care Physicians,Alaska,28.0,112.6
2010,Primary Care Physicians,Arizona,44.0,91.7
2010,Primary Care Physicians,Arkansas,41.0,98.6
2010,Primary Care Physicians,California,21.0,118.8
2010,Primary Care Physicians,Colorado,23.0,116.0
2010,Primary Care Physicians,Connecticut,6.0,162.7
2010,Primary Care Physicians,Delaware,29.0,110.6
2010,Primary Care Physicians,Florida,31.0,108.0
2010,Primary Care Physicians,Georgia,40.0,99.8
2010,Primary Care Physicians,Hawaii,7.0,148.5
2010,Primary Care Physicians,Idaho,50.0,76.1
2010,Primary Care Physicians,Illinois,11.0,129.5
2010,Primary Care Physicians,Indiana,37.0,101.8
2010,Primary Care Physicians,Iowa,47.0,84.0
2010,Primary Care Physicians,Kansas,36.0,102.5
2010,Primary Care Physicians,Kentucky,35.0,103.9
2010,Primary Care Physicians,Louisiana,25.0,115.8
2010,Primary Care Physicians,Maine,12.0,127.7
2010,Primary Care Physicians,Maryland,2.0,179.4
2010,Primary Care Physicians,Massachusetts,1.0,191.3
2010,Primary Care Physicians,Michigan,26.0,115.2
2010,Primary Care Physicians,Minnesota,9.0,139.5
2010,Primary Care Physicians,Mississippi,48.0,81.9
2010,Primary Care Physicians,Missouri,32.0,106.6
2010,Primary Care Physicians,Montana,38.0,101.4
2010,Primary Care Physicians,Nebraska,22.0,118.0
2010,Primary Care Physicians,Nevada,46.0,86.2
2010,Primary Care Physicians,New Hampshire,10.0,129.8
2010,Primary Care Physicians,New Jersey,8.0,143.1
2010,Primary Care Physicians,New Mexico,27.0,113.5
2010,Primary Care Physicians,New York,5.0,168.1
2010,Primary Care Physicians,North Carolina,23.0,116.0
2010,Primary Care Physicians,North Dakota,17.0,123.6
2010,Primary Care Physicians,Ohio,20.0,118.9
2010,Primary Care Physicians,Oklahoma,49.0,80.3
2010,Primary Care Physicians,Oregon,14.0,126.5
2010,Primary Care Physicians,Pennsylvania,13.0,127.2
2010,Primary Care Physicians,Rhode Island,4.0,169.2
2010,Primary Care Physicians,South Carolina,34.0,104.3
2010,Primary Care Physicians,South Dakota,30.0,109.4
2010,Primary Care Physicians,Tennessee,18.0,121.2
2010,Primary Care Physicians,Texas,42.0,95.4
2010,Primary Care Physicians,Utah,45.0,87.4
2010,Primary Care Physicians,Vermont,3.0,170.7
2010,Primary Care Physicians,Virginia,15.0,125.1
2010,Primary Care Physicians,Washington,16.0,124.6
2010,Primary Care Physicians,West Virginia,33.0,105.4
2010,Primary Care Physicians,Wisconsin,19.0,120.6
2010,Primary Care Physicians,Wyoming,43.0,92.7
2010,Primary Care Physicians,United States,,120.5
2010,Primary Care Physicians,District of Columbia,,328.1
2011,All Determinants,Texas,49.0,-0.539
2011,All Determinants,Ohio,36.0,-0.19
2011,All Determinants,Vermont,1.0,0.904
2011,All Determinants,New Hampshire,3.0,0.723
2011,All Determinants,Rhode Island,9.0,0.397
2011,All Determinants,Kentucky,42.0,-0.321
2011,All Determinants,New York,21.0,0.196
2011,All Determinants,Montana,26.0,0.09
2011,All Determinants,Alabama,43.0,-0.342
2011,All Determinants,Nevada,45.0,-0.43700000000000006
2011,All Determinants,New Mexico,35.0,-0.166
2011,All Determinants,Florida,30.0,-0.012
2011,All Determinants,Michigan,32.0,-0.025
2011,All Determinants,Wyoming,19.0,0.244
2011,All Determinants,Oregon,12.0,0.316
2011,All Determinants,Virginia,15.0,0.306
2011,All Determinants,Tennessee,37.0,-0.19399999999999998
2011,All Determinants,North Dakota,11.0,0.35100000000000003
2011,All Determinants,Louisiana,50.0,-0.568
2011,All Determinants,Pennsylvania,25.0,0.099
2011,All Determinants,Idaho,22.0,0.185
2011,All Determinants,South Dakota,18.0,0.245
2011,All Determinants,Kansas,27.0,0.04
2011,All Determinants,South Carolina,44.0,-0.397
2011,All Determinants,Minnesota,7.0,0.442
2011,All Determinants,Maine,8.0,0.425
2011,All Determinants,Nebraska,20.0,0.233
2011,All Determinants,Alaska,39.0,-0.22
2011,All Determinants,California,24.0,0.115
2011,All Determinants,Washington,17.0,0.25
2011,All Determinants,United States,,
2011,All Determinants,Connecticut,2.0,0.758
2011,All Determinants,Illinois,28.0,0.018000000000000002
2011,All Determinants,Massachusetts,5.0,0.597
2011,All Determinants,West Virginia,34.0,-0.16399999999999998
2011,All Determinants,Georgia,38.0,-0.212
2011,All Determinants,New Jersey,12.0,0.316
2011,All Determinants,Colorado,10.0,0.384
2011,All Determinants,Utah,6.0,0.47
2011,All Determinants,Hawaii,4.0,0.621
2011,All Determinants,Oklahoma,47.0,-0.475
2011,All Determinants,Iowa,23.0,0.154
2011,All Determinants,Arkansas,46.0,-0.473
2011,All Determinants,District of Columbia,,
2011,All Determinants,Indiana,41.0,-0.28600000000000003
2011,All Determinants,Missouri,40.0,-0.285
2011,All Determinants,Delaware,33.0,-0.055999999999999994
2011,All Determinants,Arizona,29.0,0.016
2011,All Determinants,Maryland,16.0,0.253
2011,All Determinants,Mississippi,48.0,-0.513
2011,All Determinants,North Carolina,31.0,-0.019
2011,All Determinants,Wisconsin,14.0,0.307
2011,High Health Status - Female,Alabama,1.0,43.5
2011,High Health Status - Female,Alaska,41.0,59.2
2011,High Health Status - Female,Arizona,19.0,53.1
2011,High Health Status - Female,Arkansas,5.0,47.4
2011,High Health Status - Female,California,17.0,52.0
2011,High Health Status - Female,Colorado,46.0,61.1
2011,High Health Status - Female,Connecticut,45.0,60.8
2011,High Health Status - Female,Delaware,32.0,56.8
2011,High Health Status - Female,Florida,21.0,53.3
2011,High Health Status - Female,Georgia,16.0,51.8
2011,High Health Status - Female,Hawaii,8.0,48.3
2011,High Health Status - Female,Idaho,27.0,55.4
2011,High Health Status - Female,Illinois,18.0,53.0
2011,High Health Status - Female,Indiana,11.0,50.6
2011,High Health Status - Female,Iowa,32.0,56.8
2011,High Health Status - Female,Kansas,34.0,57.2
2011,High Health Status - Female,Kentucky,5.0,47.4
2011,High Health Status - Female,Louisiana,9.0,48.6
2011,High Health Status - Female,Maine,37.0,58.2
2011,High Health Status - Female,Maryland,30.0,55.9
2011,High Health Status - Female,Massachusetts,48.0,61.7
2011,High Health Status - Female,Michigan,20.0,53.2
2011,High Health Status - Female,Minnesota,47.0,61.2
2011,High Health Status - Female,Mississippi,2.0,43.9
2011,High Health Status - Female,Missouri,12.0,50.8
2011,High Health Status - Female,Montana,38.0,58.4
2011,High Health Status - Female,Nebraska,36.0,57.4
2011,High Health Status - Female,Nevada,23.0,53.4
2011,High Health Status - Female,New Hampshire,50.0,62.9
2011,High Health Status - Female,New Jersey,24.0,53.6
2011,High Health Status - Female,New Mexico,10.0,50.4
2011,High Health Status - Female,New York,26.0,55.1
2011,High Health Status - Female,North Carolina,13.0,51.0
2011,High Health Status - Female,North Dakota,28.0,55.5
2011,High Health Status - Female,Ohio,21.0,53.3
2011,High Health Status - Female,Oklahoma,4.0,47.3
2011,High Health Status - Female,Oregon,31.0,56.5
2011,High Health Status - Female,Pennsylvania,25.0,53.9
2011,High Health Status - Female,Rhode Island,35.0,57.3
2011,High Health Status - Female,South Carolina,15.0,51.6
2011,High Health Status - Female,South Dakota,44.0,60.5
2011,High Health Status - Female,Tennessee,13.0,51.0
2011,High Health Status - Female,Texas,7.0,48.1
2011,High Health Status - Female,Utah,42.0,59.8
2011,High Health Status - Female,Vermont,49.0,62.1
2011,High Health Status - Female,Virginia,38.0,58.4
2011,High Health Status - Female,Washington,29.0,55.8
2011,High Health Status - Female,West Virginia,2.0,43.9
2011,High Health Status - Female,Wisconsin,43.0,59.9
2011,High Health Status - Female,Wyoming,40.0,58.6
2011,High Health Status - Female,United States,,53.2
2011,High Health Status - Female,District of Columbia,,59.3
2011,Overall,Alabama,48.0,-0.802
2011,Overall,Alaska,29.0,0.04
2011,Overall,Arizona,27.0,0.13699999999999998
2011,Overall,Arkansas,47.0,-0.7170000000000001
2011,Overall,California,22.0,0.304
2011,Overall,Colorado,14.0,0.5429999999999999
2011,Overall,Connecticut,4.0,0.9440000000000001
2011,Overall,Delaware,31.0,-0.005
2011,Overall,Florida,34.0,-0.16399999999999998
2011,Overall,Georgia,38.0,-0.396
2011,Overall,Hawaii,3.0,0.958
2011,Overall,Idaho,15.0,0.531
2011,Overall,Illinois,30.0,0.008
2011,Overall,Indiana,37.0,-0.28800000000000003
2011,Overall,Iowa,16.0,0.505
2011,Overall,Kansas,25.0,0.195
2011,Overall,Kentucky,44.0,-0.603
2011,Overall,Louisiana,50.0,-1.133
2011,Overall,Maine,10.0,0.628
2011,Overall,Maryland,24.0,0.203
2011,Overall,Massachusetts,7.0,0.871
2011,Overall,Michigan,33.0,-0.08800000000000001
2011,Overall,Minnesota,6.0,0.884
2011,Overall,Mississippi,49.0,-1.085
2011,Overall,Missouri,40.0,-0.408
2011,Overall,Montana,26.0,0.174
2011,Overall,Nebraska,18.0,0.457
2011,Overall,Nevada,39.0,-0.402
2011,Overall,New Hampshire,2.0,1.085
2011,Overall,New Jersey,17.0,0.462
2011,Overall,New Mexico,32.0,-0.071
2011,Overall,New York,20.0,0.35
2011,Overall,North Carolina,35.0,-0.17600000000000002
2011,Overall,North Dakota,11.0,0.575
2011,Overall,Ohio,36.0,-0.28300000000000003
2011,Overall,Oklahoma,46.0,-0.6559999999999999
2011,Overall,Oregon,8.0,0.718
2011,Overall,Pennsylvania,28.0,0.105
2011,Overall,Rhode Island,13.0,0.5529999999999999
2011,Overall,South Carolina,45.0,-0.636
2011,Overall,South Dakota,19.0,0.405
2011,Overall,Tennessee,41.0,-0.41600000000000004
2011,Overall,Texas,42.0,-0.424
2011,Overall,Utah,5.0,0.89
2011,Overall,Vermont,1.0,1.227
2011,Overall,Virginia,23.0,0.284
2011,Overall,Washington,9.0,0.665
2011,Overall,West Virginia,43.0,-0.574
2011,Overall,Wisconsin,12.0,0.5539999999999999
2011,Overall,Wyoming,21.0,0.313
2011,Overall,United States,,
2011,Overall,District of Columbia,,
2011,Primary Care Physicians,Maryland,2.0,179.6
2011,Primary Care Physicians,Mississippi,48.0,82.2
2011,Primary Care Physicians,Texas,42.0,95.6
2011,Primary Care Physicians,Missouri,33.0,106.8
2011,Primary Care Physicians,Utah,45.0,88.4
2011,Primary Care Physicians,Oklahoma,49.0,81.7
2011,Primary Care Physicians,Alabama,40.0,99.7
2011,Primary Care Physicians,New Hampshire,10.0,131.7
