State,State Code,Year,Births
Mississippi,28,2016,37928
Mississippi,28,2017,37357
Mississippi,28,2018,37000
Mississippi,28,2019,36636
Missouri,29,2009,78905
Missouri,29,2010,76759
Missouri,29,2011,76117
Missouri,29,2012,75446
Missouri,29,2013,75296
Missouri,29,2014,75360
Missouri,29,2015,75061
Missouri,29,2016,74705
Missouri,29,2017,73034
Missouri,29,2018,73269
Missouri,29,2019,72127
Montana,30,2009,12257
Montana,30,2010,12060
Montana,30,2011,12069
Montana,30,2012,12118
Montana,30,2013,12377
Montana,30,2014,12432
Montana,30,2015,12583
Montana,30,2016,12282
Montana,30,2017,11799
Montana,30,2018,11513
Montana,30,2019,11079
Nebraska,31,2009,26936
Nebraska,31,2010,25918
Nebraska,31,2011,25720
Nebraska,31,2012,25942
Nebraska,31,2013,26095
Nebraska,31,2014,26794
Nebraska,31,2015,26679
Nebraska,31,2016,26589
Nebraska,31,2017,25821
Nebraska,31,2018,25488
Nebraska,31,2019,24755
Nevada,32,2009,37612
Nevada,32,2010,35934
Nevada,32,2011,35296
Nevada,32,2012,34911
Nevada,32,2013,35030
Nevada,32,2014,35861
Nevada,32,2015,36298
Nevada,32,2016,36260
Nevada,32,2017,35756
Nevada,32,2018,35682
Nevada,32,2019,35072
New Hampshire,33,2009,13377
New Hampshire,33,2010,12874
New Hampshire,33,2011,12851
New Hampshire,33,2012,12352
New Hampshire,33,2013,12396
New Hampshire,33,2014,12302
New Hampshire,33,2015,12433
New Hampshire,33,2016,12267
New Hampshire,33,2017,12116
New Hampshire,33,2018,11995
New Hampshire,33,2019,11839
New Jersey,34,2009,110331
New Jersey,34,2010,106922
New Jersey,34,2011,105883
New Jersey,34,2012,104230
New Jersey,34,2013,102575
New Jersey,34,2014,103305
New Jersey,34,2015,103127
New Jersey,34,2016,102647
New Jersey,34,2017,101250
New Jersey,34,2018,101223
New Jersey,34,2019,99585
New Mexico,35,2009,29000
New Mexico,35,2010,27850
New Mexico,35,2011,27289
New Mexico,35,2012,27068
New Mexico,35,2013,26354
New Mexico,35,2014,26052
New Mexico,35,2015,25816
New Mexico,35,2016,24692
New Mexico,35,2017,23767
New Mexico,35,2018,23039
New Mexico,35,2019,22960
New York,36,2009,248110
New York,36,2010,244375
New York,36,2011,241312
New York,36,2012,240916
New York,36,2013,236980
New York,36,2014,238773
New York,36,2015,237274
New York,36,2016,234283
New York,36,2017,229737
New York,36,2018,226238
New York,36,2019,221539
North Carolina,37,2009,126845
North Carolina,37,2010,122350
North Carolina,37,2011,120389
North Carolina,37,2012,119831
North Carolina,37,2013,119002
North Carolina,37,2014,120975
North Carolina,37,2015,120843
North Carolina,37,2016,120779
North Carolina,37,2017,120125
North Carolina,37,2018,118954
North Carolina,37,2019,118725
North Dakota,38,2009,9001
North Dakota,38,2010,9104
North Dakota,38,2011,9527
North Dakota,38,2012,10106
North Dakota,38,2013,10599
North Dakota,38,2014,11359
North Dakota,38,2015,11314
North Dakota,38,2016,11383
North Dakota,38,2017,10737
North Dakota,38,2018,10636
North Dakota,38,2019,10454
Ohio,39,2009,144841
Ohio,39,2010,139128
Ohio,39,2011,137918
Ohio,39,2012,138483
Ohio,39,2013,138936
Ohio,39,2014,139467
Ohio,39,2015,139264
Ohio,39,2016,138085
Ohio,39,2017,136832
Ohio,39,2018,135134
Ohio,39,2019,134461
Oklahoma,40,2009,54553
Oklahoma,40,2010,53238
Oklahoma,40,2011,52272
Oklahoma,40,2012,52751
Oklahoma,40,2013,53369
Oklahoma,40,2014,53339
Oklahoma,40,2015,53122
Oklahoma,40,2016,52592
Oklahoma,40,2017,50214
Oklahoma,40,2018,49800
Oklahoma,40,2019,49143
Oregon,41,2009,47132
Oregon,41,2010,45540
Oregon,41,2011,45155
Oregon,41,2012,45067
Oregon,41,2013,45155
Oregon,41,2014,45556
Oregon,41,2015,45655
Oregon,41,2016,45535
Oregon,41,2017,43631
Oregon,41,2018,42188
Oregon,41,2019,41858
Pennsylvania,42,2009,146434
Pennsylvania,42,2010,143321
Pennsylvania,42,2011,143178
Pennsylvania,42,2012,142514
Pennsylvania,42,2013,140921
Pennsylvania,42,2014,142268
Pennsylvania,42,2015,141047
Pennsylvania,42,2016,139409
Pennsylvania,42,2017,137745
Pennsylvania,42,2018,135673
Pennsylvania,42,2019,134230
Rhode Island,44,2009,11442
Rhode Island,44,2010,11177
Rhode Island,44,2011,10960
Rhode Island,44,2012,10926
Rhode Island,44,2013,10809
Rhode Island,44,2014,10823
Rhode Island,44,2015,10993
Rhode Island,44,2016,10798
Rhode Island,44,2017,10638
Rhode Island,44,2018,10506
Rhode Island,44,2019,10175
South Carolina,45,2009,60620
South Carolina,45,2010,58342
South Carolina,45,2011,57393
South Carolina,45,2012,57155
South Carolina,45,2013,56795
South Carolina,45,2014,57627
South Carolina,45,2015,58139
South Carolina,45,2016,57342
South Carolina,45,2017,57029
South Carolina,45,2018,56669
South Carolina,45,2019,57038
South Dakota,46,2009,11934
South Dakota,46,2010,11811
South Dakota,46,2011,11846
South Dakota,46,2012,12104
South Dakota,46,2013,12248
South Dakota,46,2014,12283
South Dakota,46,2015,12336
South Dakota,46,2016,12275
South Dakota,46,2017,12134
South Dakota,46,2018,11893
South Dakota,46,2019,11449
Tennessee,47,2009,82211
Tennessee,47,2010,79495
Tennessee,47,2011,79588
Tennessee,47,2012,80371
Tennessee,47,2013,79992
Tennessee,47,2014,81602
Tennessee,47,2015,81685
Tennessee,47,2016,80807
Tennessee,47,2017,81016
Tennessee,47,2018,80751
Tennessee,47,2019,80450
Texas,48,2009,401977
Texas,48,2010,386118
Texas,48,2011,377445
Texas,48,2012,382727
Texas,48,2013,387340
Texas,48,2014,399766
Texas,48,2015,403618
Texas,48,2016,398047
Texas,48,2017,382050
Texas,48,2018,378624
Texas,48,2019,377599
Utah,49,2009,53887
Utah,49,2010,52258
Utah,49,2011,51223
Utah,49,2012,51465
Utah,49,2013,50957
Utah,49,2014,51154
Utah,49,2015,50778
Utah,49,2016,50464
Utah,49,2017,48585
Utah,49,2018,47209
Utah,49,2019,46826
Vermont,50,2009,6110
Vermont,50,2010,6223
Vermont,50,2011,6078
Vermont,50,2012,6009
Vermont,50,2013,5975
Vermont,50,2014,6130
Vermont,50,2015,5903
Vermont,50,2016,5756
Vermont,50,2017,5655
Vermont,50,2018,5432
Vermont,50,2019,5361
Virginia,51,2009,105059
Virginia,51,2010,103002
Virginia,51,2011,102652
Virginia,51,2012,103013
Virginia,51,2013,102147
Virginia,51,2014,103300
Virginia,51,2015,103303
Virginia,51,2016,102460
Virginia,51,2017,100391
Virginia,51,2018,99843
Virginia,51,2019,97429
Washington,53,2009,89313
Washington,53,2010,86539
Washington,53,2011,86976
Washington,53,2012,87463
Washington,53,2013,86577
Washington,53,2014,88585
Washington,53,2015,88990
Washington,53,2016,90505
Washington,53,2017,87562
Washington,53,2018,86085
Washington,53,2019,84895
West Virginia,54,2009,21268
West Virginia,54,2010,20470
West Virginia,54,2011,20717
West Virginia,54,2012,20827
West Virginia,54,2013,20825
West Virginia,54,2014,20301
West Virginia,54,2015,19805
West Virginia,54,2016,19079
West Virginia,54,2017,18675
West Virginia,54,2018,18248
West Virginia,54,2019,18136
Wisconsin,55,2009,70843
Wisconsin,55,2010,68487
Wisconsin,55,2011,67810
Wisconsin,55,2012,67295
Wisconsin,55,2013,66649
Wisconsin,55,2014,67161
Wisconsin,55,2015,67041
Wisconsin,55,2016,66615
Wisconsin,55,2017,64975
Wisconsin,55,2018,64098
Wisconsin,55,2019,63270
Wyoming,56,2009,7881
Wyoming,56,2010,7556
Wyoming,56,2011,7399
Wyoming,56,2012,7572
Wyoming,56,2013,7644
Wyoming,56,2014,7696
Wyoming,56,2015,7765
Wyoming,56,2016,7386
Wyoming,56,2017,6903
Wyoming,56,2018,6562
Wyoming,56,2019,6565
